Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OPs in RegisterStatistics	GFLOP/S achieved	Op name	Device	Input/output tensors
836	     8.00	     0.05	     0.40	     0.00	133672.05	    99.97	     0.00	     0.00	Mul	GPU-0	(6272x1)(6272x17191)->(6272x17191)
837	    40.00	     0.01	     0.40	     0.00	133672.45	    99.97	     0.00	     0.00	Mul	GPU-0	(5888x128)(1x1)->(5888x128)
838	     1.95	     0.20	     0.39	     0.00	133672.84	    99.97	     0.00	     0.00	Reshape	GPU-0	(4992x17191)(int32 2x1)->(4992x17191)
839	     1.77	     0.22	     0.39	     0.00	133673.23	    99.97	     0.00	     0.00	Reshape	GPU-0	(1152x17191)(int32 2x1)->(1152x17191)
840	    19.50	     0.02	     0.39	     0.00	133673.62	    99.97	     0.00	     0.00	L2Loss	GPU-0	(2304x128)->(1x1)
841	     4.33	     0.09	     0.39	     0.00	133674.01	    99.97	     0.00	     0.00	Shape	GPU-0	(6400x128)->(int32 2x1)
842	     2.38	     0.16	     0.38	     0.00	133674.39	    99.97	     0.00	     0.00	MEMCPYHtoD	GPU-0	(Transfer)->(19456 bytes)
843	    19.00	     0.02	     0.38	     0.00	133674.77	    99.97	     0.00	     0.00	L2Loss	GPU-0	(5888x128)->(1x1)
844	    37.00	     0.01	     0.37	     0.00	133675.14	    99.97	     0.00	     0.00	Mul	GPU-0	(6144x128)(1x1)(int32 1x1)->(6144x128)
845	     2.00	     0.18	     0.36	     0.00	133675.50	    99.97	     0.00	     0.00	Reshape	GPU-0	(6400x128)(int32 3x1)->(128x50x128)
846	     4.50	     0.08	     0.36	     0.00	133675.86	    99.97	     0.00	     0.00	Shape	GPU-0	(38x128x17191)->(int32 3x1)
847	     1.80	     0.20	     0.36	     0.00	133676.22	    99.97	     0.00	     0.00	Enter	GPU-0	(int32 128x39)(int32 128x39)(int32 128x39)(int32 128x1)(int32 128x1)->(int32 128x1)
848	     3.50	     0.10	     0.35	     0.00	133676.57	    99.97	     0.00	     0.00	Transpose	GPU-0	(128x39)(int32 2x1)->(39x128)
849	     3.89	     0.09	     0.35	     0.00	133676.92	    99.97	     0.00	     0.00	Shape	GPU-0	(6528x17191)->(int32 2x1)
850	    35.00	     0.01	     0.35	     0.00	133677.27	    99.97	     0.00	     0.00	Mul	GPU-0	(5888x128)(1x1)(int32 1x1)->(5888x128)
851	     1.94	     0.18	     0.35	     0.00	133677.62	    99.97	     0.00	     0.00	Reshape	GPU-0	(128x50x128)(int32 2x1)->(6400x128)
852	     1.59	     0.22	     0.35	     0.00	133677.97	    99.97	     0.00	     0.00	Reshape	GPU-0	(1152x128)(int32 3x1)->(128x9x128)
853	     4.38	     0.08	     0.35	     0.00	133678.32	    99.97	     0.00	     0.00	MEMCPYDtoH	GPU-0	(Transfer)->(19456 bytes)
854	     3.50	     0.10	     0.35	     0.00	133678.67	    99.97	     0.00	     0.00	Shape	GPU-0	(4992x1)(4992x17191)->(int32 1x1)
855	     1.94	     0.18	     0.35	     0.00	133679.02	    99.97	     0.00	     0.00	Enter	GPU-0	(int32 128x50)(int32 128x51)(int32 128x51)(int32 128x1)(int32 128x1)->(int32 128x1)
856	     3.78	     0.09	     0.34	     0.00	133679.36	    99.98	     0.00	     0.00	Tile	GPU-0	(1x1)(int32 2x1)->(51x128)
857	     1.48	     0.23	     0.34	     0.00	133679.70	    99.98	     0.00	     0.00	Sum	GPU-0	(128x29x128)(int32 1x1)(int32 1x1)->(128x29x128)
858	     2.00	     0.17	     0.34	     0.00	133680.04	    99.98	     0.00	     0.00	Reshape	GPU-0	(49x128x128)(int32 2x1)->(6272x128)
859	     1.55	     0.22	     0.34	     0.00	133680.38	    99.98	     0.00	     0.00	Identity	GPU-0	(int32 128x29)(int32 128x29)(int32 128x29)(int32 128x1)(int32 128x1)->(1x1)
860	     6.80	     0.05	     0.34	     0.00	133680.72	    99.98	     0.00	     0.00	Shape	GPU-0	(6272x17191)->(int32 2x1)
861	     3.67	     0.09	     0.33	     0.00	133681.05	    99.98	     0.00	     0.00	Transpose	GPU-0	(128x51)(int32 2x1)->(51x128)
862	     3.00	     0.11	     0.33	     0.00	133681.38	    99.98	     0.00	     0.00	Sum	GPU-0	(9x128)(int32 2x1)->(1x1)
863	     1.94	     0.17	     0.33	     0.00	133681.71	    99.98	     0.00	     0.00	Reshape	GPU-0	(int32 49x128)(int32 1x1)->(int32 6272x1)
864	     3.67	     0.09	     0.33	     0.00	133682.04	    99.98	     0.00	     0.00	Reshape	GPU-0	(int32 50x128)(int32 1x1)->(int32 6400x1)
865	    16.50	     0.02	     0.33	     0.00	133682.37	    99.98	     0.00	     0.00	L2Loss	GPU-0	(6144x128)->(1x1)
866	    33.00	     0.01	     0.33	     0.00	133682.70	    99.98	     0.00	     0.00	Mul	GPU-0	(6144x1)(6144x17191)->(6144x17191)
867	    33.00	     0.01	     0.33	     0.00	133683.03	    99.98	     0.00	     0.00	GatherV2	GPU-0	(17191x128)(int32 28x128)(int32 1x1)->(28x128x128)
868	     1.83	     0.18	     0.33	     0.00	133683.36	    99.98	     0.00	     0.00	Reshape	GPU-0	(6528x17191)(int32 2x1)->(6528x17191)
869	     2.36	     0.14	     0.33	     0.00	133683.69	    99.98	     0.00	     0.00	Reshape	GPU-0	(128x39)(int32 3x1)->(128x39x1)
870	     1.45	     0.22	     0.32	     0.00	133684.01	    99.98	     0.00	     0.00	Reshape	GPU-0	(128x9x128)(int32 2x1)->(1152x128)
871	     8.00	     0.04	     0.32	     0.00	133684.33	    99.98	     0.00	     0.00	Equal	GPU-0	(int32 1x1)(int32 128x39)(int32 128x38)(int32 128x38)(int32 128x1)(int32 128x1)->(boolean 128x1)
872	     6.40	     0.05	     0.32	     0.00	133684.65	    99.98	     0.00	     0.00	GatherV2	GPU-0	(17191x128)(int32 49x128)(int32 1x1)->(49x128x128)
873	     3.10	     0.10	     0.31	     0.00	133684.96	    99.98	     0.00	     0.00	ExpandDims	GPU-0	(4992x1)(int32 1x1)->(4992x1)
874	     1.72	     0.18	     0.31	     0.00	133685.27	    99.98	     0.00	     0.00	MEMCPYHtoD	GPU-0	(Transfer)->(400 bytes)
875	     1.72	     0.18	     0.31	     0.00	133685.58	    99.98	     0.00	     0.00	Reshape	GPU-0	(51x128x128)(int32 2x1)->(6528x128)
876	     4.43	     0.07	     0.31	     0.00	133685.89	    99.98	     0.00	     0.00	Shape	GPU-0	(6272x128)->(int32 2x1)
877	     6.00	     0.05	     0.30	     0.00	133686.19	    99.98	     0.00	     0.00	Tile	GPU-0	(1x1)(int32 2x1)->(49x128)
878	     2.14	     0.14	     0.30	     0.00	133686.49	    99.98	     0.00	     0.00	Reshape	GPU-0	(6272x128)(int32 3x1)->(128x49x128)
879	     1.30	     0.23	     0.30	     0.00	133686.79	    99.98	     0.00	     0.00	Reshape	GPU-0	(128x29x128)(int32 3x1)->(128x29x128)
880	     3.00	     0.10	     0.30	     0.00	133687.09	    99.98	     0.00	     0.00	ExpandDims	GPU-0	(int32 128x49)(int32 128x49)(int32 128x49)(int32 128x1)(int32 128x1)(int32 1x1)->(int32 128x1)
881	     7.25	     0.04	     0.29	     0.00	133687.38	    99.98	     0.00	     0.00	Transpose	GPU-0	(int32 128x39)(int32 128x38)(int32 128x38)(int32 128x1)(int32 128x1)(int32 2x1)->(int32 39x128)
882	     2.64	     0.11	     0.29	     0.00	133687.67	    99.98	     0.00	     0.00	Shape	GPU-0	(128x9x1)->(int32 3x1)
883	     2.90	     0.10	     0.29	     0.00	133687.96	    99.98	     0.00	     0.00	Shape	GPU-0	(49x128x17191)->(int32 3x1)
884	     1.27	     0.22	     0.28	     0.00	133688.24	    99.98	     0.00	     0.00	Reshape	GPU-0	(29x128)(int32 1x1)->(3712x1)
885	     3.11	     0.09	     0.28	     0.00	133688.52	    99.98	     0.00	     0.00	Shape	GPU-0	(6528x1)(6528x17191)->(int32 1x1)
886	     2.80	     0.10	     0.28	     0.00	133688.80	    99.98	     0.00	     0.00	Sum	GPU-0	(39x128)(int32 1x1)(int32 1x1)->(39x128)
887	     5.60	     0.05	     0.28	     0.00	133689.08	    99.98	     0.00	     0.00	StridedSlice	GPU-0	(49x128x128)(int32 2x1)(int32 2x1)(int32 2x1)->(128x128)
888	     2.55	     0.11	     0.28	     0.00	133689.36	    99.98	     0.00	     0.00	Sum	GPU-0	(9x128)(int32 1x1)(int32 1x1)->(9x128)
889	     2.55	     0.11	     0.28	     0.00	133689.64	    99.98	     0.00	     0.00	Reshape	GPU-0	(1152x1)(1152x17191)(int32 2x1)->(9x128)
890	     5.40	     0.05	     0.27	     0.00	133689.91	    99.98	     0.00	     0.00	Shape	GPU-0	(int32 49x128)->(int32 2x1)
891	     8.67	     0.03	     0.26	     0.00	133690.17	    99.98	     0.00	     0.00	Shape	GPU-0	(28x128x128)->(int32 3x1)
892	     2.89	     0.09	     0.26	     0.00	133690.43	    99.98	     0.00	     0.00	Cast	GPU-0	(boolean 128x51)->(128x51)
893	     6.50	     0.04	     0.26	     0.00	133690.69	    99.98	     0.00	     0.00	StridedSlice	GPU-0	(38x128x128)(int32 2x1)(int32 2x1)(int32 2x1)->(128x128)
894	    26.00	     0.01	     0.26	     0.00	133690.95	    99.98	     0.00	     0.00	Mul	GPU-0	(3584x128)(1x1)->(3584x128)
895	     2.78	     0.09	     0.25	     0.00	133691.20	    99.98	     0.00	     0.00	ExpandDims	GPU-0	(6528x1)(int32 1x1)->(6528x1)
896	     3.12	     0.08	     0.25	     0.00	133691.45	    99.98	     0.00	     0.00	ExpandDims	GPU-0	(int32 128x39)(int32 128x38)(int32 128x38)(int32 128x1)(int32 128x1)(int32 1x1)->(int32 128x1)
897	     3.12	     0.08	     0.25	     0.00	133691.70	    99.98	     0.00	     0.00	Reshape	GPU-0	(38x128x128)(int32 2x1)->(4864x128)
898	     6.25	     0.04	     0.25	     0.00	133691.95	    99.98	     0.00	     0.00	Shape	GPU-0	(int32 38x128)->(int32 2x1)
899	     2.27	     0.11	     0.25	     0.00	133692.20	    99.98	     0.00	     0.00	Reshape	GPU-0	(1152x128)(int32 3x1)->(9x128x128)
900	     2.50	     0.10	     0.25	     0.00	133692.45	    99.98	     0.00	     0.00	Reshape	GPU-0	(4992x1)(4992x17191)(int32 2x1)->(39x128)
901	     2.08	     0.12	     0.25	     0.00	133692.70	    99.99	     0.00	     0.00	Cast	GPU-0	(boolean 128x49)->(128x49)
902	     2.78	     0.09	     0.25	     0.00	133692.95	    99.99	     0.00	     0.00	Shape	GPU-0	(128x50x1)->(int32 3x1)
903	     8.33	     0.03	     0.25	     0.00	133693.20	    99.99	     0.00	     0.00	Range	GPU-0	(int32 1x1)(int32 1x1)(int32 1x1)->(int32 48x1)
904	     2.18	     0.11	     0.24	     0.00	133693.44	    99.99	     0.00	     0.00	Reshape	GPU-0	(128x9)(int32 3x1)->(128x9x1)
905	     4.80	     0.05	     0.24	     0.00	133693.68	    99.99	     0.00	     0.00	Sum	GPU-0	(49x128)(int32 2x1)->(1x1)
906	     3.43	     0.07	     0.24	     0.00	133693.92	    99.99	     0.00	     0.00	Transpose	GPU-0	(49x128x128)(int32 3x1)->(128x49x128)
907	     2.40	     0.10	     0.24	     0.00	133694.16	    99.99	     0.00	     0.00	Mul	GPU-0	(49x128)(49x128)->(49x128)
908	     0.86	     0.28	     0.24	     0.00	133694.40	    99.99	     0.00	     0.00	Exit	GPU-0	(128x39x128)->(128x39x128)
909	    24.00	     0.01	     0.24	     0.00	133694.64	    99.99	     0.00	     0.00	SparseSoftmaxCrossEntropyWithLogits	GPU-0	(6144x17191)(int32 6144x1)->(6144x1)(6144x17191)
910	     2.18	     0.11	     0.24	     0.00	133694.88	    99.99	     0.00	     0.00	Reshape	GPU-0	(1152x17191)(int32 3x1)->(9x128x17191)
911	     2.18	     0.11	     0.24	     0.00	133695.12	    99.99	     0.00	     0.00	Identity	GPU-0	(int32 128x9)(int32 128x9)(int32 128x9)(int32 128x1)(int32 128x1)->(int32 128x1)
912	     7.67	     0.03	     0.23	     0.00	133695.35	    99.99	     0.00	     0.00	Shape	GPU-0	(18x128x128)->(int32 3x1)
913	     1.64	     0.14	     0.23	     0.00	133695.58	    99.99	     0.00	     0.00	Reshape	GPU-0	(128x49x128)(int32 2x1)->(6272x128)
914	     2.75	     0.08	     0.22	     0.00	133695.80	    99.99	     0.00	     0.00	Mul	GPU-0	(38x128)(38x128)->(38x128)
915	     1.57	     0.14	     0.22	     0.00	133696.02	    99.99	     0.00	     0.00	Sum	GPU-0	(128x39x128)(int32 1x1)(int32 1x1)->(128x39x128)
916	     2.44	     0.09	     0.22	     0.00	133696.24	    99.99	     0.00	     0.00	Sum	GPU-0	(51x128)(int32 1x1)(int32 1x1)->(51x128)
917	     2.44	     0.09	     0.22	     0.00	133696.46	    99.99	     0.00	     0.00	MEMCPYHtoD	GPU-0	(Transfer)->(6528 bytes)
918	     1.00	     0.22	     0.22	     0.00	133696.68	    99.99	     0.00	     0.00	Exit	GPU-0	(128x9x128)->(128x9x128)
919	     2.20	     0.10	     0.22	     0.00	133696.90	    99.99	     0.00	     0.00	Reshape	GPU-0	(4992x128)(int32 3x1)->(39x128x128)
920	    21.00	     0.01	     0.21	     0.00	133697.11	    99.99	     0.00	     0.00	GatherV2	GPU-0	(17191x128)(int32 18x128)(int32 1x1)->(18x128x128)
921	    21.00	     0.01	     0.21	     0.00	133697.32	    99.99	     0.00	     0.00	Mul	GPU-0	(3584x128)(1x1)(int32 1x1)->(3584x128)
922	     2.33	     0.09	     0.21	     0.00	133697.53	    99.99	     0.00	     0.00	Reshape	GPU-0	(128x50)(int32 3x1)->(128x50x1)
923	     2.22	     0.09	     0.20	     0.00	133697.73	    99.99	     0.00	     0.00	Reshape	GPU-0	(6528x1)(6528x17191)(int32 2x1)->(51x128)
924	     2.50	     0.08	     0.20	     0.00	133697.93	    99.99	     0.00	     0.00	Reshape	GPU-0	(int32 38x128)(int32 1x1)->(int32 4864x1)
925	     1.36	     0.14	     0.19	     0.00	133698.12	    99.99	     0.00	     0.00	Reshape	GPU-0	(128x39x128)(int32 3x1)->(128x39x128)
926	     1.90	     0.10	     0.19	     0.00	133698.31	    99.99	     0.00	     0.00	Enter	GPU-0	(int32 128x49)(int32 128x49)(int32 128x49)(int32 128x1)(int32 128x1)->(int32 128x1)
927	     1.90	     0.10	     0.19	     0.00	133698.50	    99.99	     0.00	     0.00	Reshape	GPU-0	(4992x17191)(int32 3x1)->(39x128x17191)
928	     1.90	     0.10	     0.19	     0.00	133698.69	    99.99	     0.00	     0.00	Identity	GPU-0	(int32 128x39)(int32 128x39)(int32 128x39)(int32 128x1)(int32 128x1)->(int32 128x1)
929	     4.75	     0.04	     0.19	     0.00	133698.88	    99.99	     0.00	     0.00	Size	GPU-0	(int32 38x128)->(int32 1x1)
930	     1.90	     0.10	     0.19	     0.00	133699.07	    99.99	     0.00	     0.00	Identity	GPU-0	(int32 128x39)(int32 128x39)(int32 128x39)(int32 128x1)(int32 128x1)->(1x1)
931	     2.11	     0.09	     0.19	     0.00	133699.26	    99.99	     0.00	     0.00	MEMCPYDtoH	GPU-0	(Transfer)->(25600 bytes)
932	     3.60	     0.05	     0.18	     0.00	133699.44	    99.99	     0.00	     0.00	Shape	GPU-0	(6272x1)(6272x17191)->(int32 1x1)
933	     1.64	     0.11	     0.18	     0.00	133699.62	    99.99	     0.00	     0.00	Sum	GPU-0	(128x9x128)(int32 1x1)(int32 1x1)->(128x9x128)
934	    18.00	     0.01	     0.18	     0.00	133699.80	    99.99	     0.00	     0.00	Mul	GPU-0	(2304x128)(1x1)->(2304x128)
935	     2.57	     0.07	     0.18	     0.00	133699.98	    99.99	     0.00	     0.00	Shape	GPU-0	(128x49x1)->(int32 3x1)
936	     2.00	     0.09	     0.18	     0.00	133700.16	    99.99	     0.00	     0.00	Reshape	GPU-0	(50x128x128)(int32 2x1)->(6400x128)
937	     2.00	     0.09	     0.18	     0.00	133700.34	    99.99	     0.00	     0.00	Identity	GPU-0	(int32 128x50)(int32 128x51)(int32 128x51)(int32 128x1)(int32 128x1)->(int32 128x1)
938	     8.50	     0.02	     0.17	     0.00	133700.51	    99.99	     0.00	     0.00	Sum	GPU-0	(int32 128x49)(int32 128x46)(int32 128x46)(int32 128x1)(int32 128x1)(int32 1x1)->(int32 1x1)
939	     2.12	     0.08	     0.17	     0.00	133700.68	    99.99	     0.00	     0.00	MEMCPYHtoD	GPU-0	(Transfer)->(304 bytes)
940	     1.89	     0.09	     0.17	     0.00	133700.85	    99.99	     0.00	     0.00	Reshape	GPU-0	(6528x17191)(int32 3x1)->(51x128x17191)
941	     4.25	     0.04	     0.17	     0.00	133701.02	    99.99	     0.00	     0.00	Sum	GPU-0	(38x128)(int32 2x1)->(1x1)
942	     4.25	     0.04	     0.17	     0.00	133701.19	    99.99	     0.00	     0.00	Tile	GPU-0	(1x1)(int32 2x1)->(38x128)
943	     1.55	     0.11	     0.17	     0.00	133701.36	    99.99	     0.00	     0.00	Reshape	GPU-0	(9x128)(int32 1x1)->(1152x1)
944	     1.89	     0.09	     0.17	     0.00	133701.53	    99.99	     0.00	     0.00	Reshape	GPU-0	(6528x128)(int32 3x1)->(51x128x128)
945	     1.70	     0.10	     0.17	     0.00	133701.70	    99.99	     0.00	     0.00	Reshape	GPU-0	(6272x17191)(int32 2x1)->(6272x17191)
946	     1.78	     0.09	     0.16	     0.00	133701.86	    99.99	     0.00	     0.00	Cast	GPU-0	(boolean 128x50)->(128x50)
947	     0.89	     0.18	     0.16	     0.00	133702.02	    99.99	     0.00	     0.00	Exit	GPU-0	(128x50x128)->(128x50x128)
948	     1.78	     0.09	     0.16	     0.00	133702.18	    99.99	     0.00	     0.00	Sum	GPU-0	(128x50x128)(int32 1x1)(int32 1x1)->(128x50x128)
949	     2.29	     0.07	     0.16	     0.00	133702.34	    99.99	     0.00	     0.00	Reshape	GPU-0	(128x49)(int32 3x1)->(128x49x1)
950	     2.00	     0.08	     0.16	     0.00	133702.50	    99.99	     0.00	     0.00	Enter	GPU-0	(int32 128x39)(int32 128x38)(int32 128x38)(int32 128x1)(int32 128x1)->(int32 128x1)
951	     1.14	     0.14	     0.16	     0.00	133702.66	    99.99	     0.00	     0.00	Exit	GPU-0	(128x49x128)->(128x49x128)
952	     3.75	     0.04	     0.15	     0.00	133702.81	    99.99	     0.00	     0.00	Shape	GPU-0	(4864x1)(4864x17191)->(int32 1x1)
953	     7.50	     0.02	     0.15	     0.00	133702.96	    99.99	     0.00	     0.00	Mul	GPU-0	(28x128)(28x128)->(28x128)
954	     7.50	     0.02	     0.15	     0.00	133703.11	    99.99	     0.00	     0.00	Sum	GPU-0	(int32 128x19)(int32 128x18)(int32 128x18)(int32 128x1)(int32 128x1)(int32 1x1)->(int32 1x1)
955	     1.75	     0.08	     0.14	     0.00	133703.25	    99.99	     0.00	     0.00	Reshape	GPU-0	(4864x17191)(int32 2x1)->(4864x17191)
956	     7.00	     0.02	     0.14	     0.00	133703.39	    99.99	     0.00	     0.00	Sum	GPU-0	(int32 128x29)(int32 128x28)(int32 128x28)(int32 128x1)(int32 128x1)(int32 1x1)->(int32 1x1)
957	     4.67	     0.03	     0.14	     0.00	133703.53	    99.99	     0.00	     0.00	Shape	GPU-0	(48x128x128)->(int32 3x1)
958	     1.40	     0.10	     0.14	     0.00	133703.67	    99.99	     0.00	     0.00	Reshape	GPU-0	(39x128)(int32 1x1)->(4992x1)
959	     1.27	     0.11	     0.14	     0.00	133703.81	    99.99	     0.00	     0.00	Identity	GPU-0	(int32 128x9)(int32 128x9)(int32 128x9)(int32 128x1)(int32 128x1)->(1x1)
960	    14.00	     0.01	     0.14	     0.00	133703.95	    99.99	     0.00	     0.00	Mul	GPU-0	(2304x128)(1x1)(int32 1x1)->(2304x128)
961	     1.56	     0.09	     0.14	     0.00	133704.09	    99.99	     0.00	     0.00	Identity	GPU-0	(int32 128x50)(int32 128x51)(int32 128x51)(int32 128x1)(int32 128x1)->(1x1)
962	     3.50	     0.04	     0.14	     0.00	133704.23	    99.99	     0.00	     0.00	Shape	GPU-0	(4864x17191)->(int32 2x1)
963	     2.60	     0.05	     0.13	     0.00	133704.36	    99.99	     0.00	     0.00	ExpandDims	GPU-0	(6272x1)(int32 1x1)->(6272x1)
964	     2.60	     0.05	     0.13	     0.00	133704.49	    99.99	     0.00	     0.00	Reshape	GPU-0	(6272x1)(6272x17191)(int32 2x1)->(49x128)
965	     2.60	     0.05	     0.13	     0.00	133704.62	    99.99	     0.00	     0.00	Identity	GPU-0	(int32 128x49)(int32 128x49)(int32 128x49)(int32 128x1)(int32 128x1)->(int32 128x1)
966	     1.18	     0.11	     0.13	     0.00	133704.75	    99.99	     0.00	     0.00	Reshape	GPU-0	(128x9x128)(int32 3x1)->(128x9x128)
967	     2.60	     0.05	     0.13	     0.00	133704.88	    99.99	     0.00	     0.00	Sum	GPU-0	(49x128)(int32 1x1)(int32 1x1)->(49x128)
968	     3.00	     0.04	     0.12	     0.00	133705.00	    99.99	     0.00	     0.00	ExpandDims	GPU-0	(4864x1)(int32 1x1)->(4864x1)
969	     1.71	     0.07	     0.12	     0.00	133705.12	    99.99	     0.00	     0.00	Sum	GPU-0	(128x49x128)(int32 1x1)(int32 1x1)->(128x49x128)
970	     3.00	     0.04	     0.12	     0.00	133705.24	    99.99	     0.00	     0.00	Transpose	GPU-0	(128x38)(int32 2x1)->(38x128)
971	     4.00	     0.03	     0.12	     0.00	133705.36	    99.99	     0.00	     0.00	Shape	GPU-0	(46x128)->(int32 2x1)
972	     1.33	     0.09	     0.12	     0.00	133705.48	    99.99	     0.00	     0.00	Reshape	GPU-0	(51x128)(int32 1x1)->(6528x1)
973	     4.00	     0.03	     0.12	     0.00	133705.60	    99.99	     0.00	     0.00	Shape	GPU-0	(18x128)->(int32 2x1)
974	     2.40	     0.05	     0.12	     0.00	133705.72	    99.99	     0.00	     0.00	MatMul	GPU-0	(6272x128)(6272x17191)->(128x17191)
975	     3.67	     0.03	     0.11	     0.00	133705.83	    99.99	     0.00	     0.00	Range	GPU-0	(int32 1x1)(int32 1x1)(int32 1x1)->(int32 46x1)
976	     3.67	     0.03	     0.11	     0.00	133705.94	    99.99	     0.00	     0.00	Range	GPU-0	(int32 1x1)(int32 1x1)(int32 1x1)->(int32 28x1)
977	     3.67	     0.03	     0.11	     0.00	133706.05	    99.99	     0.00	     0.00	Shape	GPU-0	(48x128)->(int32 2x1)
978	     5.50	     0.02	     0.11	     0.00	133706.16	   100.00	     0.00	     0.00	Shape	GPU-0	(48x128x17191)->(int32 3x1)
979	     2.75	     0.04	     0.11	     0.00	133706.27	   100.00	     0.00	     0.00	Reshape	GPU-0	(4864x1)(4864x17191)(int32 2x1)->(38x128)
980	     1.22	     0.09	     0.11	     0.00	133706.38	   100.00	     0.00	     0.00	Reshape	GPU-0	(128x50x128)(int32 3x1)->(128x50x128)
981	     2.20	     0.05	     0.11	     0.00	133706.49	   100.00	     0.00	     0.00	MatMul	GPU-0	(6272x17191)(128x17191)->(6272x128)
982	     2.50	     0.04	     0.10	     0.00	133706.59	   100.00	     0.00	     0.00	Sum	GPU-0	(38x128)(int32 1x1)(int32 1x1)->(38x128)
983	     3.33	     0.03	     0.10	     0.00	133706.69	   100.00	     0.00	     0.00	Range	GPU-0	(int32 1x1)(int32 1x1)(int32 1x1)->(int32 18x1)
984	     2.00	     0.05	     0.10	     0.00	133706.79	   100.00	     0.00	     0.00	Reshape	GPU-0	(6272x17191)(int32 3x1)->(49x128x17191)
985	     3.33	     0.03	     0.10	     0.00	133706.89	   100.00	     0.00	     0.00	Shape	GPU-0	(46x128x128)->(int32 3x1)
986	     3.33	     0.03	     0.10	     0.00	133706.99	   100.00	     0.00	     0.00	Shape	GPU-0	(28x128)->(int32 2x1)
987	     5.00	     0.02	     0.10	     0.00	133707.09	   100.00	     0.00	     0.00	Sum	GPU-0	(int32 128x49)(int32 128x48)(int32 128x48)(int32 128x1)(int32 128x1)(int32 1x1)->(int32 1x1)
988	     9.00	     0.01	     0.09	     0.00	133707.18	   100.00	     0.00	     0.00	Shape	GPU-0	(int32 28x128)->(int32 2x1)
989	     2.25	     0.04	     0.09	     0.00	133707.27	   100.00	     0.00	     0.00	Identity	GPU-0	(int32 128x39)(int32 128x38)(int32 128x38)(int32 128x1)(int32 128x1)->(int32 128x1)
990	     4.00	     0.02	     0.08	     0.00	133707.35	   100.00	     0.00	     0.00	Transpose	GPU-0	(int32 128x19)(int32 128x18)(int32 128x18)(int32 128x1)(int32 128x1)(int32 2x1)->(int32 18x128)
991	     1.14	     0.07	     0.08	     0.00	133707.43	   100.00	     0.00	     0.00	Reshape	GPU-0	(128x49x128)(int32 3x1)->(128x49x128)
992	     8.00	     0.01	     0.08	     0.00	133707.51	   100.00	     0.00	     0.00	Equal	GPU-0	(int32 1x1)(int32 128x49)(int32 128x48)(int32 128x48)(int32 128x1)(int32 128x1)->(boolean 128x1)
993	     2.00	     0.04	     0.08	     0.00	133707.59	   100.00	     0.00	     0.00	Cast	GPU-0	(boolean 128x38)->(128x38)
994	     8.00	     0.01	     0.08	     0.00	133707.67	   100.00	     0.00	     0.00	Equal	GPU-0	(int32 1x1)(int32 128x29)(int32 128x28)(int32 128x28)(int32 128x1)(int32 128x1)->(boolean 128x1)
995	     2.00	     0.04	     0.08	     0.00	133707.75	   100.00	     0.00	     0.00	MEMCPYHtoD	GPU-0	(Transfer)->(14336 bytes)
996	     1.60	     0.05	     0.08	     0.00	133707.83	   100.00	     0.00	     0.00	Reshape	GPU-0	(6272x128)(int32 3x1)->(49x128x128)
997	     1.60	     0.05	     0.08	     0.00	133707.91	   100.00	     0.00	     0.00	Identity	GPU-0	(int32 128x49)(int32 128x49)(int32 128x49)(int32 128x1)(int32 128x1)->(1x1)
998	     8.00	     0.01	     0.08	     0.00	133707.99	   100.00	     0.00	     0.00	Equal	GPU-0	(int32 1x1)(int32 128x19)(int32 128x18)(int32 128x18)(int32 128x1)(int32 128x1)->(boolean 128x1)
999	     8.00	     0.01	     0.08	     0.00	133708.07	   100.00	     0.00	     0.00	Equal	GPU-0	(int32 1x1)(int32 128x49)(int32 128x46)(int32 128x46)(int32 128x1)(int32 128x1)->(boolean 128x1)
1000	     2.00	     0.04	     0.08	     0.00	133708.15	   100.00	     0.00	     0.00	MEMCPYHtoD	GPU-0	(Transfer)->(4864 bytes)
1001	     3.50	     0.02	     0.07	     0.00	133708.22	   100.00	     0.00	     0.00	Shape	GPU-0	(18x128x17191)->(int32 3x1)
1002	     1.75	     0.04	     0.07	     0.00	133708.29	   100.00	     0.00	     0.00	Reshape	GPU-0	(4864x128)(int32 3x1)->(38x128x128)
1003	     1.75	     0.04	     0.07	     0.00	133708.36	   100.00	     0.00	     0.00	MEMCPYHtoD	GPU-0	(Transfer)->(23552 bytes)
1004	     3.50	     0.02	     0.07	     0.00	133708.43	   100.00	     0.00	     0.00	ExpandDims	GPU-0	(int32 128x19)(int32 128x18)(int32 128x18)(int32 128x1)(int32 128x1)(int32 1x1)->(int32 128x1)
1005	     3.50	     0.02	     0.07	     0.00	133708.50	   100.00	     0.00	     0.00	Transpose	GPU-0	(int32 128x49)(int32 128x48)(int32 128x48)(int32 128x1)(int32 128x1)(int32 2x1)->(int32 48x128)
1006	     7.00	     0.01	     0.07	     0.00	133708.57	   100.00	     0.00	     0.00	Tile	GPU-0	(1x1)(int32 2x1)->(46x128)
1007	     3.50	     0.02	     0.07	     0.00	133708.64	   100.00	     0.00	     0.00	TensorArrayGatherV3	GPU-0	(tf_resource 1x1)(1x1)(int32 48x1)(1x1)->(48x128x128)
