Op rank by time	Time per 1 call	Num of calls per run	Total time per run	Total time %	Total cumulative time	Total cumulative time %	Op name	Device	Input/output tensor shape
63	0.004 ms	1	0.004 ms	0.002 %	214.532 ms	99.992 %	_retval_gradients/conv5/BiasAdd_grad/BiasAddGrad_0_8	CPU_0	(no input)->(no output)
64	0.003 ms	1	0.003 ms	0.001 %	214.535 ms	99.993 %	_retval_gradients/conv1/Conv2D_grad/Conv2DBackpropFilter_0_1	CPU_0	(no input)->(no output)
65	0.002 ms	1	0.002 ms	0.001 %	214.537 ms	99.994 %	_retval_gradients/conv2/BiasAdd_grad/BiasAddGrad_0_2	CPU_0	(no input)->(no output)
66	0.002 ms	1	0.002 ms	0.001 %	214.539 ms	99.995 %	_retval_gradients/conv1/BiasAdd_grad/BiasAddGrad_0_0	CPU_0	(no input)->(no output)
67	0.002 ms	1	0.002 ms	0.001 %	214.541 ms	99.996 %	_retval_gradients/conv4/BiasAdd_grad/BiasAddGrad_0_6	CPU_0	(no input)->(no output)
68	0.002 ms	1	0.002 ms	0.001 %	214.542 ms	99.997 %	_retval_gradients/conv5/Conv2D_grad/Conv2DBackpropFilter_0_9	CPU_0	(no input)->(no output)
69	0.002 ms	1	0.002 ms	0.001 %	214.544 ms	99.997 %	_retval_gradients/conv3/Conv2D_grad/Conv2DBackpropFilter_0_5	CPU_0	(no input)->(no output)
70	0.002 ms	1	0.002 ms	0.001 %	214.546 ms	99.998 %	_retval_gradients/conv2/Conv2D_grad/Conv2DBackpropFilter_0_3	CPU_0	(no input)->(no output)
71	0.002 ms	1	0.002 ms	0.001 %	214.547 ms	99.999 %	_retval_gradients/conv4/Conv2D_grad/Conv2DBackpropFilter_0_7	CPU_0	(no input)->(no output)
72	0.001 ms	1	0.001 ms	0.001 %	214.548 ms	99.999 %	_retval_gradients/conv3/BiasAdd_grad/BiasAddGrad_0_4	CPU_0	(no input)->(no output)
73	0.001 ms	1	0.001 ms	0.001 %	214.550 ms	100.000 %	_SOURCE	GPU+CPU_0	(no input)->(no output)
