mixed_9/tower_1/mixed/conv/CheckNumerics	CheckNumerics	GPU-0	120	40735	41099	(1x8x8x384)->(1x8x8x384)	0	100	0	mixed_9/tower_1/mixed/conv/CheckNumerics@GPU-0@(1x8x8x384)->(1x8x8x384)
mixed_10/tower_1/mixed/conv/CheckNumerics	CheckNumerics	GPU-0	114	39884	40252	(1x8x8x384)->(1x8x8x384)	0	100	0	mixed_10/tower_1/mixed/conv/CheckNumerics@GPU-0@(1x8x8x384)->(1x8x8x384)
mixed_1/tower_1/conv/CheckNumerics	CheckNumerics	GPU-0	283	38514	39045	(1x35x35x64)->(1x35x35x64)	0	100	0	mixed_1/tower_1/conv/CheckNumerics@GPU-0@(1x35x35x64)->(1x35x35x64)
mixed_2/tower_1/conv/CheckNumerics	CheckNumerics	GPU-0	334	38343	38965	(1x35x35x64)->(1x35x35x64)	0	100	0	mixed_2/tower_1/conv/CheckNumerics@GPU-0@(1x35x35x64)->(1x35x35x64)
mixed/tower/conv/CheckNumerics	CheckNumerics	GPU-0	238	38056	38796	(1x35x35x48)->(1x35x35x48)	0	100	0	mixed/tower/conv/CheckNumerics@GPU-0@(1x35x35x48)->(1x35x35x48)
mixed_6/tower/conv_2/CheckNumerics	CheckNumerics	GPU-0	121	37237	37595	(1x17x17x192)->(1x17x17x192)	0	100	0	mixed_6/tower/conv_2/CheckNumerics@GPU-0@(1x17x17x192)->(1x17x17x192)
mixed_9/tower_1/mixed/conv_1/CheckNumerics	CheckNumerics	GPU-0	116	37159	37437	(1x8x8x384)->(1x8x8x384)	0	100	0	mixed_9/tower_1/mixed/conv_1/CheckNumerics@GPU-0@(1x8x8x384)->(1x8x8x384)
mixed_4/conv/CheckNumerics	CheckNumerics	GPU-0	167	37100	37624	(1x17x17x192)->(1x17x17x192)	0	100	0	mixed_4/conv/CheckNumerics@GPU-0@(1x17x17x192)->(1x17x17x192)
mixed_6/tower/conv_1/CheckNumerics	CheckNumerics	GPU-0	130	36733	37123	(1x17x17x160)->(1x17x17x160)	0	100	0	mixed_6/tower/conv_1/CheckNumerics@GPU-0@(1x17x17x160)->(1x17x17x160)
mixed_10/tower_1/mixed/conv_1/CheckNumerics	CheckNumerics	GPU-0	133	36569	36865	(1x8x8x384)->(1x8x8x384)	0	100	0	mixed_10/tower_1/mixed/conv_1/CheckNumerics@GPU-0@(1x8x8x384)->(1x8x8x384)
mixed_7/tower_1/conv_2/CheckNumerics	CheckNumerics	GPU-0	116	36541	36858	(1x17x17x192)->(1x17x17x192)	0	100	0	mixed_7/tower_1/conv_2/CheckNumerics@GPU-0@(1x17x17x192)->(1x17x17x192)
mixed_4/tower/conv/CheckNumerics	CheckNumerics	GPU-0	167	36507	36945	(1x17x17x128)->(1x17x17x128)	0	100	0	mixed_4/tower/conv/CheckNumerics@GPU-0@(1x17x17x128)->(1x17x17x128)
mixed_7/tower/conv_1/CheckNumerics	CheckNumerics	GPU-0	124	36414	36811	(1x17x17x192)->(1x17x17x192)	0	100	0	mixed_7/tower/conv_1/CheckNumerics@GPU-0@(1x17x17x192)->(1x17x17x192)
mixed_6/tower_1/conv_2/CheckNumerics	CheckNumerics	GPU-0	131	36201	36508	(1x17x17x160)->(1x17x17x160)	0	100	0	mixed_6/tower_1/conv_2/CheckNumerics@GPU-0@(1x17x17x160)->(1x17x17x160)
mixed_5/tower/conv_1/CheckNumerics	CheckNumerics	GPU-0	124	36085	36444	(1x17x17x160)->(1x17x17x160)	0	100	0	mixed_5/tower/conv_1/CheckNumerics@GPU-0@(1x17x17x160)->(1x17x17x160)
mixed_7/tower/conv_2/CheckNumerics	CheckNumerics	GPU-0	133	36022	36399	(1x17x17x192)->(1x17x17x192)	0	100	0	mixed_7/tower/conv_2/CheckNumerics@GPU-0@(1x17x17x192)->(1x17x17x192)
mixed_5/tower_1/conv_2/CheckNumerics	CheckNumerics	GPU-0	117	35682	35985	(1x17x17x160)->(1x17x17x160)	0	100	0	mixed_5/tower_1/conv_2/CheckNumerics@GPU-0@(1x17x17x160)->(1x17x17x160)
conv_4/Conv2D	Conv2D	GPU-0	0	35652	35652	(1x73x73x80)(3x3x80x192)->(1x71x71x192)	100	100	0	conv_4/Conv2D@GPU-0@(1x73x73x80)(3x3x80x192)->(1x71x71x192)
mixed_5/tower/conv_2/CheckNumerics	CheckNumerics	GPU-0	122	35620	35983	(1x17x17x192)->(1x17x17x192)	0	100	0	mixed_5/tower/conv_2/CheckNumerics@GPU-0@(1x17x17x192)->(1x17x17x192)
mixed_7/tower_1/conv_1/CheckNumerics	CheckNumerics	GPU-0	120	34653	34980	(1x17x17x192)->(1x17x17x192)	0	100	0	mixed_7/tower_1/conv_1/CheckNumerics@GPU-0@(1x17x17x192)->(1x17x17x192)
mixed_2/tower_2/conv/CheckNumerics	CheckNumerics	GPU-0	138	34592	34982	(1x35x35x64)->(1x35x35x64)	0	100	0	mixed_2/tower_2/conv/CheckNumerics@GPU-0@(1x35x35x64)->(1x35x35x64)
mixed_6/tower_1/conv_1/CheckNumerics	CheckNumerics	GPU-0	134	34433	34770	(1x17x17x160)->(1x17x17x160)	0	100	0	mixed_6/tower_1/conv_1/CheckNumerics@GPU-0@(1x17x17x160)->(1x17x17x160)
mixed_5/tower_1/conv_1/CheckNumerics	CheckNumerics	GPU-0	145	34407	34749	(1x17x17x160)->(1x17x17x160)	0	100	0	mixed_5/tower_1/conv_1/CheckNumerics@GPU-0@(1x17x17x160)->(1x17x17x160)
mixed_1/tower_2/conv/CheckNumerics	CheckNumerics	GPU-0	168	34311	34726	(1x35x35x64)->(1x35x35x64)	0	100	0	mixed_1/tower_2/conv/CheckNumerics@GPU-0@(1x35x35x64)->(1x35x35x64)
conv_1/CheckNumerics	CheckNumerics	GPU-0	148	34194	34796	(1x147x147x32)->(1x147x147x32)	0	100	0	conv_1/CheckNumerics@GPU-0@(1x147x147x32)->(1x147x147x32)
mixed_6/conv/CheckNumerics	CheckNumerics	GPU-0	130	33934	34359	(1x17x17x192)->(1x17x17x192)	0	100	0	mixed_6/conv/CheckNumerics@GPU-0@(1x17x17x192)->(1x17x17x192)
mixed_5/conv/CheckNumerics	CheckNumerics	GPU-0	134	33819	34280	(1x17x17x192)->(1x17x17x192)	0	100	0	mixed_5/conv/CheckNumerics@GPU-0@(1x17x17x192)->(1x17x17x192)
mixed_7/conv/CheckNumerics	CheckNumerics	GPU-0	135	33604	34040	(1x17x17x192)->(1x17x17x192)	0	100	0	mixed_7/conv/CheckNumerics@GPU-0@(1x17x17x192)->(1x17x17x192)
conv_2/Conv2D	Conv2D	GPU-0	0	33465	33465	(1x147x147x32)(3x3x32x64)->(1x147x147x64)	100	100	0	conv_2/Conv2D@GPU-0@(1x147x147x32)(3x3x32x64)->(1x147x147x64)
mixed_7/tower/conv/CheckNumerics	CheckNumerics	GPU-0	218	33100	33532	(1x17x17x192)->(1x17x17x192)	0	100	0	mixed_7/tower/conv/CheckNumerics@GPU-0@(1x17x17x192)->(1x17x17x192)
mixed_5/tower/conv/CheckNumerics	CheckNumerics	GPU-0	150	32936	33320	(1x17x17x160)->(1x17x17x160)	0	100	0	mixed_5/tower/conv/CheckNumerics@GPU-0@(1x17x17x160)->(1x17x17x160)
mixed_4/tower_1/conv/CheckNumerics	CheckNumerics	GPU-0	306	32426	32977	(1x17x17x128)->(1x17x17x128)	0	100	0	mixed_4/tower_1/conv/CheckNumerics@GPU-0@(1x17x17x128)->(1x17x17x128)
