Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OPs in RegisterStatistics	GFLOP/S achieved	Op name	Device	Input/output tensors
37	   260.72	     1.00	   260.72	     0.53	 42767.48	    86.61	     0.00	     0.00	DecodeJpeg	CPU-0	(string 1x1)->(uint8 100x100x3)
38	   253.95	     1.00	   253.95	     0.51	 43021.43	    87.12	3175200.00	    12.50	AvgPool	GPU-0	(1x35x35x288)->(1x35x35x288)
39	   252.71	     1.00	   252.71	     0.51	 43274.14	    87.64	     0.00	     0.00	CheckNumerics	GPU-0	(1x35x35x32)->(1x35x35x32)
40	   249.94	     1.00	   249.94	     0.51	 43524.08	    88.14	70778880.00	   283.18	Conv2D	GPU-0	(1x17x17x192)(3x3x192x320)->(1x8x8x320)
41	   114.51	     2.00	   229.02	     0.46	 43753.10	    88.61	132579328.00	   578.90	Conv2D	GPU-0	(1x17x17x128)(1x7x128x128)->(1x17x17x128)
42	   224.97	     1.00	   224.97	     0.46	 43978.07	    89.06	2822400.00	    12.55	AvgPool	GPU-0	(1x35x35x256)->(1x35x35x256)
43	   110.35	     2.00	   220.70	     0.45	 44198.77	    89.51	132579328.00	   600.72	Conv2D	GPU-0	(1x17x17x128)(7x1x128x128)->(1x17x17x128)
44	   204.93	     1.00	   204.93	     0.42	 44403.70	    89.92	42467328.00	   207.23	Conv2D	GPU-0	(1x17x17x192)(3x3x192x192)->(1x8x8x192)
45	   204.52	     1.00	   204.52	     0.41	 44608.22	    90.34	398297088.00	  1947.47	Conv2D	GPU-0	(1x149x149x32)(3x3x32x32)->(1x147x147x32)
46	    16.55	    12.00	   198.65	     0.40	 44806.87	    90.74	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x35x35x64)(64x1)(64x1)(64x1)(1)->(1x35x35x64)
