BatchNormWithGlobalNormalization/GPU-0/(1x17x17x160)(160x1)(160x1)(160x1)(1)->(1x17x17x160)	[12384, 1100, -1]
MEMCPYDtoH/GPU-0/(Transfer)->(8 bytes)	[12238, 100, -1]
BatchNormWithGlobalNormalization/GPU-0/(1x71x71x192)(192x1)(192x1)(192x1)(192x1)->(1x71x71x192)	[12194, 100, -1]
Conv2D/GPU-0/(1x17x17x128)(1x7x128x192)->(1x17x17x192)	[12080, 100, 99434496]
Conv2D/GPU-0/(1x299x299x3)(3x3x3x32)->(1x149x149x32)	[11401, 100, 38363328]
BatchNormWithGlobalNormalization/GPU-0/(1x35x35x96)(96x1)(96x1)(96x1)(1)->(1x35x35x96)	[10364, 600, -1]
Conv2D/GPU-0/(1x17x17x768)(1x1x768x160)->(1x17x17x160)	[9720, 400, 71024640]
Conv2D/GPU-0/(1x35x35x288)(1x1x288x64)->(1x35x35x64)	[9078, 400, 45158400]
Conv2D/GPU-0/(1x35x35x96)(3x3x96x96)->(1x17x17x96)	[8937, 100, 47941632]
BatchNormWithGlobalNormalization/GPU-0/(1x8x8x384)(384x1)(384x1)(384x1)(1)->(1x8x8x384)	[8291, 1200, -1]
MaxPool/GPU-0/(1x147x147x64)->(1x73x73x64)	[7853, 100, 3069504]
Relu/GPU-0/(1x17x17x192)->(1x17x17x192)	[7592, 2600, -1]
Relu/GPU-0/(1x147x147x64)->(1x147x147x64)	[6906, 100, -1]
Const/GPU-0/(no input)->(384x1)	[6734, 4000, -1]
Conv2D/GPU-0/(1x35x35x256)(1x1x256x64)->(1x35x35x64)	[6083, 300, 40140800]
MatMul/GPU-0/(1x2048)(2048x1008)->(1x1008)	[5814, 100, 4128768]
Concat/GPU-0/(1)(1x17x17x192)(1x17x17x192)(1x17x17x192)(1x17x17x192)->(1x17x17x768)	[5771, 400, -1]
AvgPool/GPU-0/(1x8x8x1280)->(1x8x8x1280)	[5748, 100, 737280]
Const/GPU-0/(no input)->(64x1)	[5504, 4000, -1]
MaxPool/GPU-0/(1x71x71x192)->(1x35x35x192)	[5497, 100, 2116800]
Const/GPU-0/(no input)->(160x1)	[5277, 3700, -1]
Identity/GPU-0/(1x17x17x192)->(1x17x17x192)	[5226, 2600, -1]
Conv2D/GPU-0/(1x73x73x64)(1x1x64x80)->(1x73x73x80)	[4865, 100, 54568960]
AvgPool/GPU-0/(1x8x8x2048)->(1x1x1x2048)	[4845, 100, 131072]
Relu/GPU-0/(1x35x35x64)->(1x35x35x64)	[4823, 1200, -1]
BatchNormWithGlobalNormalization/GPU-0/(1x149x149x32)(32x1)(32x1)(32x1)(32x1)->(1x149x149x32)	[4809, 100, -1]
