resnet_model/batch_normalization_1/AssignMovingAvg/sub_1@GPU-0@(64x1)(64x1)->(64x1)	resnet_model/batch_normalization_1/AssignMovingAvg/sub_1	Sub	GPU-0	0	2	2	(64x1)(64x1)->(64x1)	1	1	0
resnet_model/batch_normalization_22/AssignMovingAvg_1/mul@GPU-0@(256x1)(1x1)->(256x1)	resnet_model/batch_normalization_22/AssignMovingAvg_1/mul	Mul	GPU-0	0	1	1	(256x1)(1x1)->(256x1)	1	1	0
AddN@GPU-0@(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)->(1x1)	AddN	AddN	GPU-0	0	16	16	(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)->(1x1)	1	1	0
resnet_model/batch_normalization_46/AssignMovingAvg/mul@GPU-0@(512x1)(1x1)->(512x1)	resnet_model/batch_normalization_46/AssignMovingAvg/mul	Mul	GPU-0	0	3	3	(512x1)(1x1)->(512x1)	1	1	0
gradients/L2Loss_20_grad/mul@GPU-0@(1x1x128x512)(1x1)->(1x1x128x512)	gradients/L2Loss_20_grad/mul	Mul	GPU-0	0	5	5	(1x1x128x512)(1x1)->(1x1x128x512)	1	1	0
Momentum/update_resnet_model/batch_normalization_41/gamma/ApplyMomentum@GPU-0@(512x1)(512x1)(1x1)(int32 1x1 slot 1 slot )(512x1)(1x1)->(512x1)	Momentum/update_resnet_model/batch_normalization_41/gamma/ApplyMomentum	ApplyMomentum	GPU-0	0	4	4	(512x1)(512x1)(1x1)(int32 1x1 slot 1 slot )(512x1)(1x1)->(512x1)	1	1	0
resnet_model/batch_normalization_17/beta@GPU-0@(no input)->(128x1)	resnet_model/batch_normalization_17/beta	VariableV2	GPU-0	0	1	2	(no input)->(128x1)	0	1	0
gradients/resnet_model/Relu_40_grad/ReluGrad@GPU-0@(64x512x14x14)(64x512x14x14)->(64x512x14x14)	gradients/resnet_model/Relu_40_grad/ReluGrad	ReluGrad	GPU-0	0	496	496	(64x512x14x14)(64x512x14x14)->(64x512x14x14)	1	1	0
resnet_model/batch_normalization_16/AssignMovingAvg@GPU-0@(128x1)(128x1)->(128x1)	resnet_model/batch_normalization_16/AssignMovingAvg	AssignSub	GPU-0	0	2	2	(128x1)(128x1)->(128x1)	1	1	0
resnet_model/conv2d_23/kernel/read@GPU-0@(1x1x128x512)->(1x1x128x512)	resnet_model/conv2d_23/kernel/read	Identity	GPU-0	1	1	4	(1x1x128x512)->(1x1x128x512)	0	1	0
