AddN, (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), GPU, 0
L2Loss_53:L2Loss, (no input), (no output), GPU, 0
L2Loss_54, (32x1), (1), GPU, 0
L2Loss_54:L2Loss, (no input), (no output), GPU, 0
L2Loss_55, (32x1), (1), GPU, 0
L2Loss_55:L2Loss, (no input), (no output), GPU, 0
L2Loss_56, (3x3x32x32), (1), GPU, 0
L2Loss_56:L2Loss, (no input), (no output), GPU, 0
L2Loss_57, (32x1), (1), GPU, 0
L2Loss_57:L2Loss, (no input), (no output), GPU, 0
L2Loss_58, (32x1), (1), GPU, 0
L2Loss_58:L2Loss, (no input), (no output), GPU, 0
L2Loss_59, (3x3x32x32), (1), GPU, 0
L2Loss_59:L2Loss, (no input), (no output), GPU, 0
L2Loss_5:L2Loss, (no input), (no output), GPU, 0
L2Loss_6, (16x1), (1), GPU, 0
L2Loss_60, (32x1), (1), GPU, 0
L2Loss_60:L2Loss, (no input), (no output), GPU, 0
L2Loss_61, (32x1), (1), GPU, 0
L2Loss_61:L2Loss, (no input), (no output), GPU, 0
L2Loss_62, (3x3x32x32), (1), GPU, 0
L2Loss_62:L2Loss, (no input), (no output), GPU, 0
L2Loss_63, (32x1), (1), GPU, 0
L2Loss_63:L2Loss, (no input), (no output), GPU, 0
L2Loss_64, (32x1), (1), GPU, 0
L2Loss_64:L2Loss, (no input), (no output), GPU, 0
L2Loss_65, (1x1x32x64), (1), GPU, 0
L2Loss_65:L2Loss, (no input), (no output), GPU, 0
L2Loss_66, (3x3x32x64), (1), GPU, 0
L2Loss_66:L2Loss, (no input), (no output), GPU, 0
L2Loss_67, (64x1), (1), GPU, 0
L2Loss_67:L2Loss, (no input), (no output), GPU, 0
L2Loss_68, (64x1), (1), GPU, 0
L2Loss_68:L2Loss, (no input), (no output), GPU, 0
L2Loss_69, (3x3x64x64), (1), GPU, 0
L2Loss_69:L2Loss, (no input), (no output), GPU, 0
L2Loss_6:L2Loss, (no input), (no output), GPU, 0
L2Loss_7, (3x3x16x16), (1), GPU, 0
L2Loss_70, (64x1), (1), GPU, 0
L2Loss_70:L2Loss, (no input), (no output), GPU, 0
L2Loss_71, (64x1), (1), GPU, 0
L2Loss_71:L2Loss, (no input), (no output), GPU, 0
L2Loss_72, (3x3x64x64), (1), GPU, 0
L2Loss_72:L2Loss, (no input), (no output), GPU, 0
L2Loss_73, (64x1), (1), GPU, 0
L2Loss_73:L2Loss, (no input), (no output), GPU, 0
L2Loss_74, (64x1), (1), GPU, 0
L2Loss_74:L2Loss, (no input), (no output), GPU, 0
L2Loss_75, (3x3x64x64), (1), GPU, 0
L2Loss_75:L2Loss, (no input), (no output), GPU, 0
L2Loss_76, (64x1), (1), GPU, 0
L2Loss_76:L2Loss, (no input), (no output), GPU, 0
L2Loss_77, (64x1), (1), GPU, 0
L2Loss_77:L2Loss, (no input), (no output), GPU, 0
L2Loss_78, (3x3x64x64), (1), GPU, 0
L2Loss_78:L2Loss, (no input), (no output), GPU, 0
L2Loss_79, (64x1), (1), GPU, 0
L2Loss_79:L2Loss, (no input), (no output), GPU, 0
L2Loss_7:L2Loss, (no input), (no output), GPU, 0
L2Loss_8, (16x1), (1), GPU, 0
L2Loss_80, (64x1), (1), GPU, 0
L2Loss_80:L2Loss, (no input), (no output), GPU, 0
L2Loss_81, (3x3x64x64), (1), GPU, 0
L2Loss_81:L2Loss, (no input), (no output), GPU, 0
L2Loss_82, (64x1), (1), GPU, 0
L2Loss_82:L2Loss, (no input), (no output), GPU, 0
L2Loss_83, (64x1), (1), GPU, 0
L2Loss_83:L2Loss, (no input), (no output), GPU, 0
L2Loss_84, (3x3x64x64), (1), GPU, 0
L2Loss_84:L2Loss, (no input), (no output), GPU, 0
L2Loss_85, (64x1), (1), GPU, 0
L2Loss_85:L2Loss, (no input), (no output), GPU, 0
L2Loss_86, (64x1), (1), GPU, 0
L2Loss_86:L2Loss, (no input), (no output), GPU, 0
L2Loss_87, (3x3x64x64), (1), GPU, 0
L2Loss_87:L2Loss, (no input), (no output), GPU, 0
L2Loss_88, (64x1), (1), GPU, 0
L2Loss_88:L2Loss, (no input), (no output), GPU, 0
L2Loss_89, (64x1), (1), GPU, 0
L2Loss_89:L2Loss, (no input), (no output), GPU, 0
L2Loss_8:L2Loss, (no input), (no output), GPU, 0
L2Loss_9, (16x1), (1), GPU, 0
L2Loss_90, (3x3x64x64), (1), GPU, 0
L2Loss_90:L2Loss, (no input), (no output), GPU, 0
L2Loss_91, (64x1), (1), GPU, 0
L2Loss_91:L2Loss, (no input), (no output), GPU, 0
L2Loss_92, (64x1), (1), GPU, 0
L2Loss_92:L2Loss, (no input), (no output), GPU, 0
L2Loss_93, (3x3x64x64), (1), GPU, 0
L2Loss_93:L2Loss, (no input), (no output), GPU, 0
L2Loss_94, (64x1), (1), GPU, 0
L2Loss_94:L2Loss, (no input), (no output), GPU, 0
L2Loss_95, (64x1), (1), GPU, 0
L2Loss_95:L2Loss, (no input), (no output), GPU, 0
L2Loss_96, (64x10), (1), GPU, 0
L2Loss_96:L2Loss, (no input), (no output), GPU, 0
L2Loss_97, (10x1), (1), GPU, 0
L2Loss_97:L2Loss, (no input), (no output), GPU, 0
L2Loss_9:L2Loss, (no input), (no output), GPU, 0
Momentum, (int64 1), (int64 1), (int64 1), GPU, 0
Momentum/momentum, (1), (1), GPU, 0
Momentum/update_resnet_model/batch_normalization/beta/ApplyMomentum, (16x1), (16x1), (1), (int32 1), (16x1), (1), (16x1), GPU, 0
Momentum/update_resnet_model/batch_normalization/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization/gamma/ApplyMomentum, (16x1), (16x1), (1), (int32 1), (16x1), (1), (16x1), GPU, 0
Momentum/update_resnet_model/batch_normalization/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
