Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OPs in RegisterStatistics	GFLOP/S achieved	Op name	Device	Input/output tensors
29	  2171.00	     3.00	  6513.01	     0.93	240997.13	    34.50	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x512x128)(64x128x28x28)(128x1)(128x1)(1x1)(1x1)->(64x512x28x28)
30	  6322.68	     1.00	  6322.68	     0.91	247319.81	    35.41	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x1024x14x14)(int32 4x1)(64x2048x7x7)->(1x1x1024x2048)
31	  1972.96	     3.00	  5918.88	     0.85	253238.69	    36.26	     0.00	     0.00	Relu	GPU-0	(64x256x56x56)(256x1)(256x1)(256x1)(256x1)->(64x256x56x56)
32	  5824.66	     1.00	  5824.66	     0.83	259063.35	    37.09	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x3x230x230)(int32 4x1)(64x64x112x112)->(7x7x3x64)
33	  2911.05	     2.00	  5822.11	     0.83	264885.46	    37.92	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x512x7x7)(int32 4x1)(64x512x7x7)(512x1)(512x1)(1x1)(1x1)->(3x3x512x512)
34	  5805.90	     1.00	  5805.90	     0.83	270691.36	    38.75	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x128x128)(64x128x28x28)(128x1)(128x1)(1x1)(1x1)->(64x128x58x58)
35	  5799.94	     1.00	  5799.94	     0.83	276491.30	    39.59	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x256x256)(64x256x14x14)(256x1)(256x1)(1x1)(1x1)->(64x256x30x30)
36	  1864.57	     3.00	  5593.71	     0.80	282085.01	    40.39	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x128x28x28)(int32 4x1)(64x512x28x28)->(1x1x128x512)
37	  2779.09	     2.00	  5558.19	     0.80	287643.20	    41.18	13153337344.00	  2366.48	Conv2D	GPU-0	(64x256x56x56)(1x1x256x64)->(64x64x56x56)
38	  1840.16	     3.00	  5520.47	     0.79	293163.67	    41.97	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x128x512)(64x512x28x28)->(64x128x28x28)
39	   392.69	    14.00	  5497.69	     0.79	298661.36	    42.76	   896.00	     0.00	Sub	GPU-0	(64x1)(64x1)->(64x1)
40	  5448.11	     1.00	  5448.11	     0.78	304109.47	    43.54	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x512x512)(64x512x7x7)(512x1)(512x1)(1x1)(1x1)->(64x512x16x16)
41	  1809.08	     3.00	  5427.23	     0.78	309536.70	    44.32	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x512x28x28)(int32 4x1)(64x128x28x28)(128x1)(128x1)(1x1)(1x1)->(1x1x512x128)
42	  1754.98	     3.00	  5264.95	     0.75	314801.65	    45.07	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x128x28x28)(int32 4x1)(64x128x28x28)(128x1)(128x1)(1x1)(1x1)->(3x3x128x128)
43	  1309.89	     4.00	  5239.57	     0.75	320041.22	    45.82	26306674688.00	  5020.77	Conv2D	GPU-0	(64x128x28x28)(1x1x128x512)->(64x512x28x28)
44	   747.42	     7.00	  5231.91	     0.75	325273.13	    46.57	     0.00	     0.00	Relu	GPU-0	(64x64x56x56)(64x1)(64x1)(64x1)(64x1)->(64x64x56x56)
45	   373.70	    14.00	  5231.81	     0.75	330504.94	    47.32	   896.00	     0.00	Mul	GPU-0	(64x1)(1x1)->(64x1)
46	  1292.62	     4.00	  5170.49	     0.74	335675.43	    48.06	     0.00	     0.00	ReluGrad	GPU-0	(64x512x28x28)(64x512x28x28)->(64x512x28x28)
47	  5170.36	     1.00	  5170.36	     0.74	340845.79	    48.80	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x1024x2048)(64x2048x7x7)->(64x1024x14x14)
48	  2557.14	     2.00	  5114.29	     0.73	345960.08	    49.53	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x2048x7x7)(int32 4x1)(64x512x7x7)(512x1)(512x1)(1x1)(1x1)->(1x1x2048x512)
49	  1545.36	     3.00	  4636.07	     0.66	350596.15	    50.19	19730006016.00	  4255.76	Conv2D	GPU-0	(64x512x7x7)(1x1x512x2048)->(64x2048x7x7)
50	  1145.67	     4.00	  4582.70	     0.66	355178.85	    50.85	     0.00	     0.00	FusedBatchNorm	GPU-0	(64x512x28x28)(512x1)(512x1)(1x1)(1x1)->(64x512x28x28)(512x1)(512x1)(512x1)(512x1)
51	   653.27	     7.00	  4572.88	     0.65	359751.73	    51.51	     0.00	     0.00	ReluGrad	GPU-0	(64x64x56x56)(64x64x56x56)->(64x64x56x56)
52	  1135.66	     4.00	  4542.63	     0.65	364294.36	    52.16	102760448.00	    22.62	Add	GPU-0	(64x512x28x28)(64x512x28x28)->(64x512x28x28)
53	  1503.89	     3.00	  4511.68	     0.65	368806.04	    52.80	44392513536.00	  9839.46	Conv2D	GPU-0	(64x128x28x28)(3x3x128x128)->(64x128x28x28)
54	  4465.79	     1.00	  4465.79	     0.64	373271.83	    53.44	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x512x1024)(64x1024x14x14)->(64x512x28x28)
55	  2226.34	     2.00	  4452.68	     0.64	377724.51	    54.08	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x512x7x7)(int32 4x1)(64x2048x7x7)->(1x1x512x2048)
56	  1098.49	     4.00	  4393.98	     0.63	382118.49	    54.71	196604.00	     0.04	L2Loss	GPU-0	(1x1x64x256)->(1x1)
57	  4361.18	     1.00	  4361.18	     0.62	386479.67	    55.33	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x256x512)(64x512x28x28)->(64x256x56x56)
58	  2156.51	     2.00	  4313.01	     0.62	390792.68	    55.95	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x512x512)(64x512x7x7)(512x1)(512x1)(1x1)(1x1)->(64x512x7x7)
59	  4299.09	     1.00	  4299.09	     0.62	395091.77	    56.57	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x512x28x28)(int32 4x1)(64x1024x14x14)->(1x1x512x1024)
60	  4218.01	     1.00	  4218.01	     0.60	399309.78	    57.17	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x256x56x56)(int32 4x1)(64x512x28x28)->(1x1x256x512)
