resnet_model/batch_normalization_7/moving_variance/read	Identity	GPU-0	0	8	27	(16x1)->(16x1)	0	10	0
resnet_model/conv2d_19/Conv2D	Conv2D	GPU-0	0	1519	1519	(128x32x16x16)(3x3x32x32)->(128x32x16x16)	10	10	0
gradients/L2Loss_90_grad/mul	Mul	GPU-0	0	35	35	(3x3x64x64)(1x1)->(3x3x64x64)	10	10	0
PiecewiseConstant/Const_4	Const	GPU-0	0	20	33	(no input)->(1x1)	0	10	0
resnet_model/dense/kernel/Momentum	VariableV2	GPU-0	0	26	44	(no input)->(64x10)	0	10	0
resnet_model/batch_normalization_16/moving_variance/read	Identity	GPU-0	0	14	36	(32x1)->(32x1)	0	10	0
gradients/AddN_77	AddN	GPU-0	0	17	17	(16x1)(16x1)->(16x1)	10	10	0
resnet_model/batch_normalization_16/AssignMovingAvg/mul	Mul	GPU-0	0	21	21	(32x1)(1x1)->(32x1)	10	10	0
resnet_model/add_3	Add	GPU-0	0	1595	1595	(128x16x32x32)(128x16x32x32)->(128x16x32x32)	10	10	0
resnet_model/conv2d_30/kernel/read	Identity	GPU-0	0	9	32	(3x3x64x64)->(3x3x64x64)	0	10	0
resnet_model/conv2d_5/kernel/read	Identity	GPU-0	0	9	35	(3x3x16x16)->(3x3x16x16)	0	10	0
ConstantFolding/gradients/resnet_model/conv2d_13/Conv2D_grad/ShapeN-matshapes-1	Const	GPU-0	0	10	30	(no input)->(int32 4x1)	0	10	0
Momentum/update_resnet_model/batch_normalization_24/beta/ApplyMomentum	ApplyMomentum	GPU-0	0	47	47	(64x1)(64x1)(1x1)(int32 1x1 slot 1 slot )(64x1)(1x1)->(64x1)	10	10	0
resnet_model/batch_normalization_26/gamma/read	Identity	GPU-0	0	10	48	(64x1)->(64x1)	0	10	0
Momentum/update_resnet_model/batch_normalization_26/beta/ApplyMomentum	ApplyMomentum	GPU-0	0	48	48	(64x1)(64x1)(1x1)(int32 1x1 slot 1 slot )(64x1)(1x1)->(64x1)	10	10	0
gradients/AddN_105	AddN	GPU-0	0	22	22	(1x1x16x16)(1x1x16x16)->(1x1x16x16)	10	10	0
resnet_model/batch_normalization_14/AssignMovingAvg_1/sub_1	Sub	GPU-0	0	20	20	(32x1)(32x1)->(32x1)	10	10	0
resnet_model/batch_normalization_13/gamma/read	Identity	GPU-0	0	12	28	(32x1)->(32x1)	0	10	0
resnet_model/conv2d_3/kernel/Momentum	VariableV2	GPU-0	0	22	37	(no input)->(3x3x16x16)	0	10	0
L2Loss_97	L2Loss	GPU-0	0	18	18	(10x1)->(1x1)	10	10	0
gradients/resnet_model/conv2d_18/Conv2D_grad/ShapeN	ShapeN	GPU-0	0	31	62	(128x32x16x16)(3x3x32x32)->(int32 4x1)(int32 4x1 slot 1 slot )	0	10	0
gradients/resnet_model/Relu_1_grad/ReluGrad	ReluGrad	GPU-0	0	1599	1599	(128x16x32x32)(128x16x32x32)->(128x16x32x32)	10	10	0
mul/x	Const	GPU-0	0	22	33	(no input)->(1x1)	0	10	0
resnet_model/conv2d_24/kernel/Momentum	VariableV2	GPU-0	0	24	39	(no input)->(3x3x32x64)	0	10	0
Momentum/update_resnet_model/batch_normalization_20/gamma/ApplyMomentum	ApplyMomentum	GPU-0	0	39	39	(32x1)(32x1)(1x1)(int32 1x1 slot 1 slot )(32x1)(1x1)->(32x1)	10	10	0
resnet_model/batch_normalization_16/gamma/read	Identity	GPU-0	0	8	27	(32x1)->(32x1)	0	10	0
resnet_model/batch_normalization_5/AssignMovingAvg/mul	Mul	GPU-0	0	21	21	(16x1)(1x1)->(16x1)	10	10	0
L2Loss_32	L2Loss	GPU-0	0	18	18	(16x1)->(1x1)	10	10	0
gradients/AddN_4	AddN	GPU-0	0	35	35	(3x3x64x64)(3x3x64x64)->(3x3x64x64)	10	10	0
gradients/resnet_model/Mean_grad/Fill	Const	GPU-0	0	12	27	(no input)->(int32 2x1)	0	10	0
