Op	System_1 time per call	System_2 time per call	Time ratio Sys1/Sys2 (one call)	System_1 total op time	System_2 total op time	Time ratio Sys1/Sys2 (all calls)	System_1 occurence	System_2 occurence	Occurence Ratio	System1 cumulative time	System1 % of total time 	System1 cumulative % of total time 	System2 cumulative time	System2 % of total time 	System2 cumulative % of total time 
AddN@GPU-0@(64x2048x7x7)(64x2048x7x7)(2048x1)(2048x1)(1x1)(1x1)->(64x2048x7x7)	509.15	647.64	0.7861620653449447	509.15	647.64	0.7861620653449447	1.00	1.00	1.0	682363.7799999999	0.0007228283649974466	0.9687359234623931	673208.5800000009	0.0009272217009507268	0.9638280597897352
Pack@GPU-0@(boolean 1x1)(boolean 1x1)(boolean 1x1)(boolean 1x1)(boolean 1x1)->(boolean 5x1)	506.22	502.84	1.0067218200620476	506.22	502.84	1.0067218200620476	1.00	1.00	1.0	682869.9999999999	0.0007186687124207157	0.9694545921748139	673711.4200000009	0.0007199125441696984	0.9645479723339049
Tile@GPU-0@(64x2048x1x1)(int32 4x1)->(64x2048x7x7)	504.53	446.83	1.1291318846093592	504.53	446.83	1.1291318846093592	1.00	1.00	1.0	683374.5299999999	0.0007162694588866968	0.9701708616337006	674158.2500000008	0.0006397234152242191	0.9651876957491291
ApplyMomentum@GPU-0@(1x1x512x2048)(1x1x512x2048)(1x1)(int32 1x1)(1x1x512x2048)(1x1)->(1x1x512x2048)	167.13	209.95	0.7960466777804239	501.40	629.84	0.7960751936999872	3.00	3.00	1.0	683875.9299999999	0.0007118258709804963	0.9708826875046811	674788.0900000008	0.000901737564274606	0.9660894333134037
Mul@GPU-0@(1001x1)(1x1)->(1001x1)	491.51	340.49	1.4435372551323093	491.51	340.49	1.4435372551323093	1.00	1.00	1.0	684367.44	0.0006977852689382205	0.9715804727736194	675128.5800000008	0.00048747717398047217	0.9665769104873841
AssignSub@GPU-0@(2048x1)(2048x1)->(2048x1)	80.11	106.87	0.7496023205764012	480.65	641.24	0.7495633460170918	6.00	6.00	1.0	684848.09	0.0006823675805480167	0.9722628403541674	675769.8200000008	0.0009180588652918969	0.9674949693526761
L2Loss@GPU-0@(1x1x256x512)->(1x1)	475.93	693.94	0.6858373922817534	475.93	693.94	0.6858373922817534	1.00	1.00	1.0	685324.02	0.0006756667067725322	0.97293850706094	676463.7600000007	0.000993509090170075	0.9684884784428461
AddN@GPU-0@(1x1x1024x2048)(1x1x1024x2048)->(1x1x1024x2048)	446.29	105.80	4.218241965973535	446.29	105.80	4.218241965973535	1.00	1.00	1.0	685770.31	0.0006335874909451252	0.9735720945518851	676569.5600000008	0.0001514731269850332	0.9686399515698312
L2Loss@GPU-0@(1x1x1024x2048)->(1x1)	445.62	1156.50	0.3853177691309987	445.62	1156.50	0.3853177691309987	1.00	1.00	1.0	686215.93	0.0006326363075914017	0.9742047308594765	677726.0600000008	0.0016557530374120121	0.9702957046072432
AddN@GPU-0@(1x1x2048x512)(1x1x2048x512)->(1x1x2048x512)	217.94	256.89	0.848378683483203	435.87	513.78	0.848359219899568	2.00	2.00	1.0	686651.8	0.0006187944602797546	0.9748235253197562	678239.8400000008	0.0007355752663740109	0.9710312798736173
L2Loss@GPU-0@(1x1x64x64)->(1x1)	434.32	559.57	0.7761674142645245	434.32	559.57	0.7761674142645245	1.00	1.00	1.0	687086.12	0.0006165939614763645	0.9754401192812326	678799.4100000007	0.0008011324921267962	0.971832412365744
AddN@GPU-0@(1x1x64x256)(1x1x64x256)->(1x1x64x256)	107.75	51.17	2.1057260113347662	430.98	204.68	2.1056282978307603	4.00	4.00	1.0	687517.1	0.0006118522414742209	0.9760519715227068	679004.0900000008	0.0002930389379139565	0.972125451303658
Slice@GPU-0@(64x256x30x30)(int32 4x1)(int32 4x1)->(64x256x28x28)	427.35	433.99	0.9847001082974263	427.35	433.99	0.9847001082974263	1.00	1.00	1.0	687944.45	0.0006066988152443461	0.9766586703379512	679438.0800000008	0.0006213404761836915	0.9727467917798417
