conv1-1-1-TransposeNCHWToNHWC-LayoutOptimizer	/job:localhost/replica:0/task:0/device:GPU:0	1	12	14	['(128x56x56x64)']	[GPU_0_bfc 98.0MB 98.0MB] conv1-1-1-TransposeNCHWToNHWC-LayoutOptimizer = Transpose(conv1, PermConstNCHWToNHWC-LayoutOptimizer)
conv1-1-1-TransposeNCHWToNHWC-LayoutOptimizer:Transpose	/device:GPU:0/stream:13	0	1360	1360	['(no output)']	
conv1-1-1-TransposeNCHWToNHWC-LayoutOptimizer:Transpose	/device:GPU:0/stream:all	0	1360	1360	['(no output)']	
conv1/BiasAdd	/job:localhost/replica:0/task:0/device:GPU:0	0	17	19	['(128x64x56x56)']	conv1/BiasAdd = BiasAdd(conv1/Conv2D, conv1/biases/read)
conv1/BiasAdd:BiasAdd	/device:GPU:0/stream:13	0	1729	1729	['(no output)']	
conv1/BiasAdd:BiasAdd	/device:GPU:0/stream:all	0	1729	1729	['(no output)']	
conv1/Conv2D	/job:localhost/replica:0/task:0/device:GPU:0	0	94	98	['(128x64x56x56)']	[GPU_0_bfc 270.3MB 270.3MB] conv1/Conv2D = Conv2D(conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer, conv1/weights/read)
conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer	/job:localhost/replica:0/task:0/device:GPU:0	0	77	80	['(128x3x224x224)']	[GPU_0_bfc 73.5MB 73.5MB] conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer = Transpose(Variable/read, PermConstNHWCToNCHW-LayoutOptimizer)
conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer:Transpose	/device:GPU:0/stream:13	0	1875	1875	['(no output)']	
conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer:Transpose	/device:GPU:0/stream:all	0	1875	1875	['(no output)']	
conv1/Conv2D:Conv2D	/device:GPU:0/stream:13	0	3	3	['(no output)']	
conv1/Conv2D:Conv2D	/device:GPU:0/stream:13	0	5	5	['(no output)']	
conv1/Conv2D:Conv2D	/device:GPU:0/stream:13	0	1901	1901	['(no output)']	
conv1/Conv2D:Conv2D	/device:GPU:0/stream:13	0	6778	6778	['(no output)']	
conv1/Conv2D:Conv2D	/device:GPU:0/stream:all	0	3	3	['(no output)']	
conv1/Conv2D:Conv2D	/device:GPU:0/stream:all	0	5	5	['(no output)']	
conv1/Conv2D:Conv2D	/device:GPU:0/stream:all	0	1901	1901	['(no output)']	
conv1/Conv2D:Conv2D	/device:GPU:0/stream:all	0	6778	6778	['(no output)']	
conv1/biases	/job:localhost/replica:0/task:0/device:GPU:0	1	3	4	['(64x1)']	conv1/biases = VariableV2()
conv1/biases/read	/job:localhost/replica:0/task:0/device:GPU:0	1	1	2	['(64x1)']	conv1/biases/read = Identity(conv1/biases)
conv1/weights	/job:localhost/replica:0/task:0/device:GPU:0	1	3	5	['(11x11x3x64)']	conv1/weights = VariableV2()
conv1/weights/read	/job:localhost/replica:0/task:0/device:GPU:0	0	1	2	['(11x11x3x64)']	conv1/weights/read = Identity(conv1/weights)
conv1:Relu	/device:GPU:0/stream:13	0	1348	1348	['(no output)']	
conv1:Relu	/device:GPU:0/stream:all	0	1348	1348	['(no output)']	
conv2	/job:localhost/replica:0/task:0/device:GPU:0	0	8	10	['(128x192x27x27)']	conv2 = Relu(conv2/BiasAdd)
conv2-1-1-TransposeNCHWToNHWC-LayoutOptimizer	/job:localhost/replica:0/task:0/device:GPU:0	0	10	12	['(128x27x27x192)']	[GPU_0_bfc 69.5MB 69.5MB] conv2-1-1-TransposeNCHWToNHWC-LayoutOptimizer = Transpose(conv2, PermConstNCHWToNHWC-LayoutOptimizer)
conv2-1-1-TransposeNCHWToNHWC-LayoutOptimizer:Transpose	/device:GPU:0/stream:13	0	951	951	['(no output)']	
conv2-1-1-TransposeNCHWToNHWC-LayoutOptimizer:Transpose	/device:GPU:0/stream:all	0	951	951	['(no output)']	
conv2/BiasAdd	/job:localhost/replica:0/task:0/device:GPU:0	0	12	14	['(128x192x27x27)']	conv2/BiasAdd = BiasAdd(conv2/Conv2D, conv2/biases/read)
conv2/BiasAdd:BiasAdd	/device:GPU:0/stream:13	0	1203	1203	['(no output)']	
conv2/BiasAdd:BiasAdd	/device:GPU:0/stream:all	0	1203	1203	['(no output)']	
conv2/Conv2D	/job:localhost/replica:0/task:0/device:GPU:0	0	77	80	['(128x192x27x27)']	[GPU_0_bfc 324.9MB 324.9MB] conv2/Conv2D = Conv2D(pool1, conv2/weights/read)
conv2/Conv2D:Conv2D	/device:GPU:0/stream:13	0	38	38	['(no output)']	
conv2/Conv2D:Conv2D	/device:GPU:0/stream:13	0	532	532	['(no output)']	
conv2/Conv2D:Conv2D	/device:GPU:0/stream:18	0	431	431	['(no output)']	
conv2/Conv2D:Conv2D	/device:GPU:0/stream:18	0	1467	1467	['(no output)']	
conv2/Conv2D:Conv2D	/device:GPU:0/stream:18	0	2236	2236	['(no output)']	
conv2/Conv2D:Conv2D	/device:GPU:0/stream:all	0	38	38	['(no output)']	
conv2/Conv2D:Conv2D	/device:GPU:0/stream:all	0	431	431	['(no output)']	
conv2/Conv2D:Conv2D	/device:GPU:0/stream:all	0	532	532	['(no output)']	
conv2/Conv2D:Conv2D	/device:GPU:0/stream:all	0	1467	1467	['(no output)']	
conv2/Conv2D:Conv2D	/device:GPU:0/stream:all	0	2236	2236	['(no output)']	
conv2/biases	/job:localhost/replica:0/task:0/device:GPU:0	1	2	4	['(192x1)']	conv2/biases = VariableV2()
conv2/biases/read	/job:localhost/replica:0/task:0/device:GPU:0	0	1	1	['(192x1)']	conv2/biases/read = Identity(conv2/biases)
conv2/weights	/job:localhost/replica:0/task:0/device:GPU:0	0	3	4	['(5x5x64x192)']	conv2/weights = VariableV2()
conv2/weights/read	/job:localhost/replica:0/task:0/device:GPU:0	0	1	2	['(5x5x64x192)']	conv2/weights/read = Identity(conv2/weights)
conv2:Relu	/device:GPU:0/stream:13	0	943	943	['(no output)']	
