Transpose/GPU-0/(128x192x13x13)(int32 4x1)->(128x13x13x192)	[21976, 100, -1]
MEMCPYDtoH/GPU-0/(Transfer)->(1228800 bytes)	[10360, 100, -1]
Const/GPU-0/(no input)->(int32 4x1)	[3404, 1100, -1]
VariableV2/GPU-0/(no input)->(256x1)	[2563, 200, -1]
NoOp/GPU-0/(no input)->(no output info)	[1992, 100, -1]
_Retval/CPU-0/(256x1)->(no output info)	[952, 200, -1]
NoOp/CPU-0/(no input)->(no output info)	[811, 100, -1]
MEMCPYDtoH/GPU-0/(Transfer)->(92928 bytes)	[700, 100, -1]
VariableV2/GPU-0/(no input)->(128x224x224x3)	[698, 100, -1]
VariableV2/GPU-0/(no input)->(5x5x64x192)	[557, 100, -1]
Identity/GPU-0/(256x1)->(256x1)	[494, 200, -1]
_Retval/CPU-0/(11x11x3x64)->(no output info)	[488, 100, -1]
VariableV2/GPU-0/(no input)->(11x11x3x64)	[484, 100, -1]
VariableV2/GPU-0/(no input)->(3x3x192x384)	[477, 100, -1]
_Retval/CPU-0/(64x1)->(no output info)	[449, 100, -1]
VariableV2/GPU-0/(no input)->(3x3x384x256)	[438, 100, -1]
_Retval/CPU-0/(192x1)->(no output info)	[412, 100, -1]
VariableV2/GPU-0/(no input)->(192x1)	[391, 100, -1]
VariableV2/GPU-0/(no input)->(3x3x256x256)	[370, 100, -1]
VariableV2/GPU-0/(no input)->(64x1)	[368, 100, -1]
VariableV2/GPU-0/(no input)->(384x1)	[338, 100, -1]
_Retval/CPU-0/(384x1)->(no output info)	[332, 100, -1]
Identity/GPU-0/(128x224x224x3)->(128x224x224x3)	[310, 100, -1]
Identity/GPU-0/(3x3x192x384)->(3x3x192x384)	[310, 100, -1]
Identity/GPU-0/(3x3x384x256)->(3x3x384x256)	[289, 100, -1]
Identity/GPU-0/(384x1)->(384x1)	[274, 100, -1]
MEMCPYDtoH/GPU-0/(Transfer)->(1024 bytes)	[263, 200, -1]
Identity/GPU-0/(3x3x256x256)->(3x3x256x256)	[262, 100, -1]
Identity/GPU-0/(11x11x3x64)->(11x11x3x64)	[258, 100, -1]
Identity/GPU-0/(5x5x64x192)->(5x5x64x192)	[252, 100, -1]
Identity/GPU-0/(192x1)->(192x1)	[240, 100, -1]
MEMCPYDtoH/GPU-0/(Transfer)->(1536 bytes)	[230, 100, -1]
Identity/GPU-0/(64x1)->(64x1)	[228, 100, -1]
_Retval/CPU-0/(3x3x192x384)->(no output info)	[226, 100, -1]
_Retval/CPU-0/(3x3x384x256)->(no output info)	[220, 100, -1]
_Retval/CPU-0/(3x3x256x256)->(no output info)	[218, 100, -1]
_Retval/CPU-0/(5x5x64x192)->(no output info)	[191, 100, -1]
MEMCPYDtoH/GPU-0/(Transfer)->(768 bytes)	[159, 100, -1]
MEMCPYDtoH/GPU-0/(Transfer)->(256 bytes)	[100, 100, -1]
