conv5/weights	VariableV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(3x3x256x256)'], 0, 2, 3]}
conv1/biases	VariableV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(64x1)'], 0, 1, 2]}
gradients/conv1_grad/ReluGrad	ReluGrad	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 1972, 1972], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 1972, 1972], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x64x56x56)', '(128x64x56x56)'], ['(128x64x56x56)'], 1, 9, 13]}
gradients/pool2_grad/MaxPoolGrad-0-TransposeNHWCToNCHW-LayoutOptimizer	Transpose	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 949, 949], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 949, 949], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x27x27x192)', '(int32 4x1)'], ['(128x192x27x27)'], 1, 9, 13]}
gradients/pool1_grad/MaxPoolGrad-0-0-TransposeNCHWToNHWC-LayoutOptimizer	Transpose	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 1359, 1359], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 1359, 1359], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x64x56x56)', '(int32 4x1)'], ['(128x56x56x64)'], 1, 10, 14]}
gradients/conv2/Conv2D_grad/Conv2DBackpropInput	Conv2DBackpropInput	{'/device:GPU:0/stream:18': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 4010, 4010], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 4569, 4569], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 559, 559], '/job:localhost/replica:0/task:0/device:GPU:0': [['(int32 4x1)', '(5x5x64x192)', '(128x192x27x27)'], ['(128x64x27x27)'], 1, 67, 72]}
gradients/pool2_grad/MaxPoolGrad	MaxPoolGrad	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 1310, 1310], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 1310, 1310], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x192x27x27)', '(128x192x13x13)', '(128x192x13x13)'], ['(128x192x27x27)'], 1, 18, 23]}
_retval_gradients/conv5/BiasAdd_grad/BiasAddGrad_0_8	_Retval	{'/job:localhost/replica:0/task:0/device:CPU:0': [['(256x1)'], ['(no output info)'], 1, 1, 4]}
gradients/conv3_grad/ReluGrad-1-0-TransposeNCHWToNHWC-LayoutOptimizer	Transpose	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 446, 446], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 446, 446], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x384x13x13)', '(int32 4x1)'], ['(128x13x13x384)'], 0, 12, 15]}
conv2/Conv2D	Conv2D	{'/device:GPU:0/stream:18': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 4030, 4030], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 4597, 4597], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 567, 567], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x64x27x27)', '(5x5x64x192)'], ['(128x192x27x27)'], 0, 77, 80]}
conv3/weights	VariableV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(3x3x192x384)'], 1, 1, 3]}
gradients/conv5_grad/ReluGrad-1-0-TransposeNCHWToNHWC-LayoutOptimizer	Transpose	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 295, 295], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 295, 295], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x256x13x13)', '(int32 4x1)'], ['(128x13x13x256)'], 1, 11, 14]}
edge_183_gradients/conv2/Conv2D_grad/Conv2DBackpropFilter/MEMCPYDtoH	MEMCPYDtoH	{'/device:GPU:0/stream:15': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 124, 124], '/device:GPU:0/memcpy': [['(Transfer)'], ['(1228800 bytes)'], 0, 124, 124]}
conv1/biases/read	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(64x1)'], ['(64x1)'], 0, 1, 1]}
conv4	Relu	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 290, 290], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 290, 290], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x256x13x13)'], ['(128x256x13x13)'], 1, 7, 10]}
conv5/Conv2D	Conv2D	{'/device:GPU:0/stream:18': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 421, 421], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 4252, 4252], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 3831, 3831], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x256x13x13)', '(3x3x256x256)'], ['(128x256x13x13)'], 0, 53, 56]}
pool1-2-0-TransposeNCHWToNHWC-LayoutOptimizer	Transpose	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 315, 315], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 315, 315], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x64x27x27)', '(int32 4x1)'], ['(128x27x27x64)'], 0, 11, 12]}
gradients/conv5/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(int32 4x1)'], 1, 1, 3]}
pool5	MaxPool	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 273, 273], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 273, 273], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x256x13x13)'], ['(128x256x6x6)'], 0, 15, 17]}
gradients/conv5/Conv2D_grad/Conv2DBackpropInput	Conv2DBackpropInput	{'/device:GPU:0/stream:18': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 414, 414], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 4108, 4108], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 3694, 3694], '/job:localhost/replica:0/task:0/device:GPU:0': [['(int32 4x1)', '(3x3x256x256)', '(128x256x13x13)'], ['(128x256x13x13)'], 0, 56, 58]}
conv4/Conv2D	Conv2D	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 6163, 6163], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 6163, 6163], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x384x13x13)', '(3x3x384x256)'], ['(128x256x13x13)'], 1, 52, 56]}
gradients/conv4_grad/ReluGrad	ReluGrad	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 427, 427], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 427, 427], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x256x13x13)', '(128x256x13x13)'], ['(128x256x13x13)'], 1, 9, 12]}
conv3/Conv2D	Conv2D	{'/device:GPU:0/stream:18': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 379, 379], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 5127, 5127], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 4748, 4748], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x192x13x13)', '(3x3x192x384)'], ['(128x384x13x13)'], 0, 63, 66]}
gradients/pool5_grad/MaxPoolGrad	MaxPoolGrad	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 813, 813], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 813, 813], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x256x13x13)', '(128x256x6x6)', '(128x256x6x6)'], ['(128x256x13x13)'], 1, 18, 22]}
gradients/conv1_grad/ReluGrad-0-0-TransposeNCHWToNHWC-LayoutOptimizer	Transpose	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 1340, 1340], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 1340, 1340], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x64x56x56)', '(int32 4x1)'], ['(128x56x56x64)'], 1, 10, 14]}
ConstantFolding/gradients/conv3/Conv2D_grad/ShapeN-matshapes-1	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(int32 4x1)'], 0, 1, 1]}
_retval_gradients/conv2/BiasAdd_grad/BiasAddGrad_0_2	_Retval	{'/job:localhost/replica:0/task:0/device:CPU:0': [['(192x1)'], ['(no output info)'], 0, 1, 2]}
_retval_gradients/conv5/Conv2D_grad/Conv2DBackpropFilter_0_9	_Retval	{'/job:localhost/replica:0/task:0/device:CPU:0': [['(3x3x256x256)'], ['(no output info)'], 1, 1, 3]}
gradients/conv2/Conv2D_grad/Conv2DBackpropFilter	Conv2DBackpropFilter	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 6437, 6437], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 6437, 6437], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x27x27x64)', '(int32 4x1)', '(128x27x27x192)'], ['(5x5x64x192)'], 1, 65, 69]}
conv2/weights/read	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(5x5x64x192)'], ['(5x5x64x192)'], 0, 1, 2]}
gradients/lrn2/LRN_grad/LRNGrad	LRNGrad	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 30740, 30740], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 30740, 30740], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x27x27x192)', '(128x27x27x192)', '(128x27x27x192)'], ['(128x27x27x192)'], 0, 17, 21]}
_retval_gradients/conv1/Conv2D_grad/Conv2DBackpropFilter_0_1	_Retval	{'/job:localhost/replica:0/task:0/device:CPU:0': [['(11x11x3x64)'], ['(no output info)'], 0, 0, 1]}
gradients/conv2/BiasAdd_grad/BiasAddGrad	BiasAddGrad	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 492, 492], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 492, 492], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x27x27x192)'], ['(192x1)'], 0, 23, 25]}
_SOURCE	NoOp	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(no output info)'], 3, 4, 10], '/job:localhost/replica:0/task:0/device:CPU:0': [['(no input)'], ['(no output info)'], 1, 1, 21]}
conv3	Relu	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 435, 435], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 435, 435], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x384x13x13)'], ['(128x384x13x13)'], 0, 8, 10]}
gradients/pool2_grad/MaxPoolGrad-0-0-TransposeNCHWToNHWC-LayoutOptimizer	Transpose	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 949, 949], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 949, 949], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x192x27x27)', '(int32 4x1)'], ['(128x27x27x192)'], 1, 12, 16]}
edge_191_gradients/conv4/Conv2D_grad/Conv2DBackpropFilter/MEMCPYDtoH	MEMCPYDtoH	{'/device:GPU:0/stream:15': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 330, 330], '/device:GPU:0/memcpy': [['(Transfer)'], ['(3538944 bytes)'], 0, 330, 330]}
conv4/biases	VariableV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(256x1)'], 0, 1, 2]}
lrn1/LRN	LRN	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 20866, 20866], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 20866, 20866], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x56x56x64)'], ['(128x56x56x64)'], 0, 17, 19]}
conv1	Relu	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 1348, 1348], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 1348, 1348], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x64x56x56)'], ['(128x64x56x56)'], 1, 10, 13]}
gradients/conv3/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(int32 4x1)'], 1, 1, 3]}
conv3/biases/read	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(384x1)'], ['(384x1)'], 1, 0, 2]}
gradients/conv3/Conv2D_grad/Conv2DBackpropFilter	Conv2DBackpropFilter	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 6554, 6554], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 6554, 6554], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x13x13x192)', '(int32 4x1)', '(128x13x13x384)'], ['(3x3x192x384)'], 1, 60, 64]}
gradients/conv4/BiasAdd_grad/BiasAddGrad	BiasAddGrad	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 170, 170], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 170, 170], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x13x13x256)'], ['(256x1)'], 0, 25, 27]}
gradients/pool1_grad/MaxPoolGrad-0-TransposeNHWCToNCHW-LayoutOptimizer	Transpose	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 1359, 1359], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 1359, 1359], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x56x56x64)', '(int32 4x1)'], ['(128x64x56x56)'], 0, 10, 12]}
conv4/biases/read	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(256x1)'], ['(256x1)'], 1, 0, 2]}
conv5/weights/read	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(3x3x256x256)'], ['(3x3x256x256)'], 1, 0, 3]}
gradients/conv1_grad/ReluGrad-0-TransposeNHWCToNCHW-LayoutOptimizer	Transpose	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 1352, 1352], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 1352, 1352], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x56x56x64)', '(int32 4x1)'], ['(128x64x56x56)'], 0, 11, 14]}
gradients/conv1/BiasAdd_grad/BiasAddGrad	BiasAddGrad	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 748, 748], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 748, 748], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x56x56x64)'], ['(64x1)'], 0, 22, 24]}
PermConstNHWCToNCHW-LayoutOptimizer	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(int32 4x1)'], 0, 1, 2]}
pool1	MaxPool	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 1230, 1230], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 1230, 1230], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x64x56x56)'], ['(128x64x27x27)'], 0, 21, 23]}
edge_185_gradients/conv3/BiasAdd_grad/BiasAddGrad/MEMCPYDtoH	MEMCPYDtoH	{'/device:GPU:0/stream:15': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2], '/device:GPU:0/memcpy': [['(Transfer)'], ['(1536 bytes)'], 0, 2, 2]}
conv1/weights/read	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(11x11x3x64)'], ['(11x11x3x64)'], 0, 1, 2]}
_retval_gradients/conv4/BiasAdd_grad/BiasAddGrad_0_6	_Retval	{'/job:localhost/replica:0/task:0/device:CPU:0': [['(256x1)'], ['(no output info)'], 0, 1, 2]}
conv2	Relu	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 935, 935], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 935, 935], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x192x27x27)'], ['(128x192x27x27)'], 1, 8, 11]}
conv5/biases	VariableV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(256x1)'], 0, 28, 31]}
