conv4/biases@GPU-0@(no input)->(256x1)	conv4/biases	VariableV2	GPU-0	0	1	2	(no input)->(256x1)	0	1	0
gradients/pool1_grad/MaxPoolGrad-0-TransposeNHWCToNCHW-LayoutOptimizer@GPU-0@(128x56x56x64)(int32 4x1)->(128x64x56x56)	gradients/pool1_grad/MaxPoolGrad-0-TransposeNHWCToNCHW-LayoutOptimizer	Transpose	GPU-0	0	1371	1371	(128x56x56x64)(int32 4x1)->(128x64x56x56)	1	1	0
gradients/conv5/BiasAdd_grad/BiasAddGrad@GPU-0@(128x13x13x256)->(256x1)	gradients/conv5/BiasAdd_grad/BiasAddGrad	BiasAddGrad	GPU-0	0	169	169	(128x13x13x256)->(256x1)	1	1	0
edge_195_gradients/conv5/Conv2D_grad/Conv2DBackpropFilter/MEMCPYDtoH@GPU-0@(Transfer)->(2359296 bytes)	edge_195_gradients/conv5/Conv2D_grad/Conv2DBackpropFilter/MEMCPYDtoH	MEMCPYDtoH	GPU-0	0	248	248	(Transfer)->(2359296 bytes)	0	0	1
_retval_gradients/conv2/BiasAdd_grad/BiasAddGrad_0_2@CPU-0@(192x1)->(no output info)	_retval_gradients/conv2/BiasAdd_grad/BiasAddGrad_0_2	_Retval	CPU-0	2	2	6	(192x1)->(no output info)	0	1	0
pool1@GPU-0@(128x64x56x56)->(128x64x27x27)	pool1	MaxPool	GPU-0	0	1249	1249	(128x64x56x56)->(128x64x27x27)	1	1	0
conv1/weights@GPU-0@(no input)->(11x11x3x64)	conv1/weights	VariableV2	GPU-0	1	2	5	(no input)->(11x11x3x64)	0	1	0
_retval_gradients/conv5/Conv2D_grad/Conv2DBackpropFilter_0_9@CPU-0@(3x3x256x256)->(no output info)	_retval_gradients/conv5/Conv2D_grad/Conv2DBackpropFilter_0_9	_Retval	CPU-0	1	1	3	(3x3x256x256)->(no output info)	0	1	0
conv2/biases/read@GPU-0@(192x1)->(192x1)	conv2/biases/read	Identity	GPU-0	0	1	1	(192x1)->(192x1)	0	1	0
gradients/conv4/Conv2D_grad/Conv2DBackpropFilter@GPU-0@(128x13x13x384)(int32 4x1)(128x13x13x256)->(3x3x384x256)	gradients/conv4/Conv2D_grad/Conv2DBackpropFilter	Conv2DBackpropFilter	GPU-0	0	6621	6621	(128x13x13x384)(int32 4x1)(128x13x13x256)->(3x3x384x256)	1	1	0
ConstantFolding/gradients/conv4/Conv2D_grad/ShapeN-matshapes-1@GPU-0@(no input)->(int32 4x1)	ConstantFolding/gradients/conv4/Conv2D_grad/ShapeN-matshapes-1	Const	GPU-0	0	1	2	(no input)->(int32 4x1)	0	1	0
gradients/pool5_grad/MaxPoolGrad@GPU-0@(128x256x13x13)(128x256x6x6)(128x256x6x6)->(128x256x13x13)	gradients/pool5_grad/MaxPoolGrad	MaxPoolGrad	GPU-0	0	777	777	(128x256x13x13)(128x256x6x6)(128x256x6x6)->(128x256x13x13)	1	1	0
conv5/biases/read@GPU-0@(256x1)->(256x1)	conv5/biases/read	Identity	GPU-0	0	1	2	(256x1)->(256x1)	0	1	0
conv5/weights@GPU-0@(no input)->(3x3x256x256)	conv5/weights	VariableV2	GPU-0	0	1	2	(no input)->(3x3x256x256)	0	1	0
conv3/Conv2D@GPU-0@(128x192x13x13)(3x3x192x384)->(128x384x13x13)	conv3/Conv2D	Conv2D	GPU-0	0	4951	4951	(128x192x13x13)(3x3x192x384)->(128x384x13x13)	1	1	0
conv4/weights@GPU-0@(no input)->(3x3x384x256)	conv4/weights	VariableV2	GPU-0	1	1	3	(no input)->(3x3x384x256)	0	1	0
gradients/conv4_grad/ReluGrad@GPU-0@(128x256x13x13)(128x256x13x13)->(128x256x13x13)	gradients/conv4_grad/ReluGrad	ReluGrad	GPU-0	0	427	427	(128x256x13x13)(128x256x13x13)->(128x256x13x13)	1	1	0
ConstantFolding/gradients/conv3/Conv2D_grad/ShapeN-matshapes-1@GPU-0@(no input)->(int32 4x1)	ConstantFolding/gradients/conv3/Conv2D_grad/ShapeN-matshapes-1	Const	GPU-0	0	1	2	(no input)->(int32 4x1)	0	1	0
edge_181_gradients/conv2/BiasAdd_grad/BiasAddGrad/MEMCPYDtoH@GPU-0@(Transfer)->(768 bytes)	edge_181_gradients/conv2/BiasAdd_grad/BiasAddGrad/MEMCPYDtoH	MEMCPYDtoH	GPU-0	0	1	1	(Transfer)->(768 bytes)	0	0	1
conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer@GPU-0@(128x224x224x3)(int32 4x1)->(128x3x224x224)	conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer	Transpose	GPU-0	0	1875	1875	(128x224x224x3)(int32 4x1)->(128x3x224x224)	1	1	0
conv2-1-1-TransposeNCHWToNHWC-LayoutOptimizer@GPU-0@(128x192x27x27)(int32 4x1)->(128x27x27x192)	conv2-1-1-TransposeNCHWToNHWC-LayoutOptimizer	Transpose	GPU-0	0	951	951	(128x192x27x27)(int32 4x1)->(128x27x27x192)	1	1	0
gradients/lrn2/LRN_grad/LRNGrad@GPU-0@(128x27x27x192)(128x27x27x192)(128x27x27x192)->(128x27x27x192)	gradients/lrn2/LRN_grad/LRNGrad	LRNGrad	GPU-0	0	30460	30460	(128x27x27x192)(128x27x27x192)(128x27x27x192)->(128x27x27x192)	1	1	0
pool5@GPU-0@(128x256x13x13)->(128x256x6x6)	pool5	MaxPool	GPU-0	0	270	270	(128x256x13x13)->(128x256x6x6)	1	1	0
